identifier	name	homepage	description	pattern	example	email	uri_format	download.owl	download.obo	synonyms	deprecated	aberowl	agroportal	bartoc	biocontext	bioportal	cellosaurus	cheminf	cropoct	ecoportal	edam	hl7	integbio	lov	miriam	n2t	obofoundry	ols	ontobee	pathguide	prefixcc	prefixcommons	re3data	rrid	togoid	uniprot	wikidata	zazuko	part_of	provides	has_canonical
icd11.code	ICD 11 Codes	https://icd.who.int/en	An ICD-11 code is a standardized alphanumeric identifier used to classify and document diseases, conditions, and health-related issues for global healthcare and statistical purposes.	^[0-9A-Z]+(\.[0-9A-Z]+)?$	NA06.8D						False																														
icd9	International Classification of Diseases, 9th Revision	https://www.cdc.gov/nchs/icd/icd9.htm	The International Classification of Diseases (ICD) is designed to promote international comparability in the collection, processing, classification, and presentation of mortality statistics.	^(\d\d\d|V\d\d|E[8-9]\d\d)(\.\d{1,2})?$	277.9		http://www.icd9data.com/getICD9Code.ashx?icd9=$1			ICD9|ICD9_2005|MTHICD9_2006	False											2.16.840.1.113883.6.42															P493				
icd9cm	International Classification of Diseases, 9th Revision, Clinical Modification	https://www.cdc.gov/nchs/icd/icd9cm.htm	ICD-9-CM is the official system of assigning codes to diagnoses and procedures associated with hospital utilization in the United States.	^([\dA-Z]\d{2}(\.\d{1,3}|))|(\d{2}(\.\d{1,2}|))$	784	pbrooks@hcfa.gov	http://icd9cm.chrisendres.com/index.php?action=search&srchtext=$1			IC9CM|ICD9CM|ICD9CM_2005|ICD9CM_2006|ICDCM_2005	False	ICD9CM				ICD9CM						2.16.840.1.113883.6.2															P1692				
icdc	Integrated Canine Data Commons	https://caninecommons.cancer.gov/#/	The Integrated Canine Data Commons is one of several repositories within the NCI Cancer Research Data Commons (CRDC), a cloud-based data science infrastructure that provides secure access to a large, comprehensive, and expanding collection of cancer research data. The ICDC was established to further research on human cancers by enabling comparative analysis with canine cancer.	^\d{6}$	000009	annika.jahnke-bornemann@uni-hamburg.de	https://caninecommons.cancer.gov/#/study/$1				False														icdc								r3d100010405								
icdo	International Classification of Diseases for Oncology	https://www.who.int/classifications/icd/adaptations/oncology/en/	The International Classification of Diseases for Oncology (ICD-O) is a domain-specific extension of the International Statistical Classification of Diseases and Related Health Problems for tumor diseases	^[8-9]\d{3}(/[0-3])?$	9861/3		http://codes.iarc.fr/search.php?cx=009987501641899931167%3A2_7lsevqpdm&cof=FORID%3A9&ie=UTF-8&ie=ISO-8859-1&oe=ISO-8859-1&sa=&q=$1			ICD-O|ICDO	False			445								2.16.840.1.113883.6.43										icdo					P563				
iceberg.cime	ICEberg cis-integrative and mobilizable element	https://bioinfo-mml.sjtu.edu.cn/ICEberg2/browse_CIME.php?type=alpha&alpha=100	ICEs have also been reported capable to mobilize other genetic elements, such as the chromosome-borne integrative and mobilizable elements (IMEs), cis-mobilizable elements (CIMEs), plasmids and etc. IMEs and CIMEs are also important vehicles for the spread of antiobiotic resistances and virulence factors. However, unlike ICE, IMEs and CIMEs are commonly devoid of conjugal apparatus, thus have to hijack the machinery of other conjugative elements.	^\d+$	6	hyou@sjtu.edu.cn	https://bioinfo-mml.sjtu.edu.cn/ICEberg2/feature_page_CIME.php?cime_id=$1_CIME				False																												iceberg		
iceberg.element	ICEberg integrative and conjugative element	https://bioinfo-mml.sjtu.edu.cn/ICEberg2/browse_result.php?type=alpha&alpha=100	ICEberg (Integrative and conjugative elements) is a database of integrative and conjugative elements (ICEs) found in bacteria. ICEs are conjugative self-transmissible elements that can integrate into and excise from a host chromosome, and can carry likely virulence determinants, antibiotic-resistant factors and/or genes coding for other beneficial traits. It contains details of ICEs found in representatives bacterial species, and which are organised as families. This collection references ICE elements.	^\d+$	100		https://bioinfo-mml.sjtu.edu.cn/ICEberg2/feature_page.php?ice_id=$1			iceberg.ice	False				ICEBERG.ELEMENT										iceberg.element	iceberg.element													iceberg		
iceberg.family	ICEberg family	https://bioinfo-mml.sjtu.edu.cn/ICEberg2/browse_fam.php	ICEberg (Integrative and conjugative elements) is a database of integrative and conjugative elements (ICEs) found in bacteria. ICEs are conjugative self-transmissible elements that can integrate into and excise from a host chromosome, and can carry likely virulence determinants, antibiotic-resistant factors and/or genes coding for other beneficial traits. It contains details of ICEs found in representatives bacterial species, and which are organised as families. This collection references ICE families.	^\d+$	1	hyou@sjtu.edu.cn	https://bioinfo-mml.sjtu.edu.cn/ICEberg2/browse_result.php?type=fam&fam_id=$1				False				ICEBERG.FAMILY										iceberg.family	iceberg.family													iceberg		
iceberg.ime	ICEberg integrative and mobilizable element	https://bioinfo-mml.sjtu.edu.cn/ICEberg2/browse_IME.php?type=alpha&alpha=100	ICEs have also been reported capable to mobilize other genetic elements, such as the chromosome-borne integrative and mobilizable elements (IMEs), cis-mobilizable elements (CIMEs), plasmids and etc. IMEs and CIMEs are also important vehicles for the spread of antiobiotic resistances and virulence factors. However, unlike ICE, IMEs and CIMEs are commonly devoid of conjugal apparatus, thus have to hijack the machinery of other conjugative elements.	^\d+$	1	hyou@sjtu.edu.cn	https://bioinfo-mml.sjtu.edu.cn/ICEberg2/feature_page_IME.php?ime_id=$1_IME				False																												iceberg		
icechem	Integrated Chemical Environment - Chemical data	https://ice.ntp.niehs.nih.gov	"The Integrated Chemical Environment (ICE) provides high-quality curated data and appropriate tools to support development and evaluation of new, revised, and alternative methods. ICE provides free online access to curated in vivo and in vitro test data, in silico toxicity predictions and chemical property data, reference chemical lists, and computational tools for chemical characterization and predicting toxicity.
ICE supports the following: (i) Data integration: brings together available data, including data on formulations; (ii) Results exploration: enables dynamic, graphical exploration with publication-quality graphics; (iii) Data analysis: allows characterization of data using online workflows, and (iv) FAIR data access: data are findable, accessible, interoperable, and reusable."	^\d{2,7}-\d{2}-\d|DTXSID\d{7,9}|[A-Z]{14}-[A-Z]{8}[SN][A-Z]-[A-Z]$	DTXSID7032004		https://ice.ntp.niehs.nih.gov/api/v1/search?chemid=$1				False														ice.chem																
iceo	Integrative and Conjugative Element Ontology	https://github.com/ontoice/ICEO	A biological ontology to standardize and integrate Integrative and Conjugative Element (ICE) information and to support computer-assisted reasoning.	^\d{7}(_\d)?$	0000712_1	liumeng94@sjtu.edu.cn	http://purl.obolibrary.org/obo/ICEO_$1				False	ICEO				ICEO											iceo	iceo	ICEO												
icepo	Ion Channel Electrophysiology Ontology	https://download.nextprot.org/pub/current_release/controlled_vocabularies/	The Ion Channel Electrophysiology Ontology supports the capture of voltage-gated ion channel electrophysiological data from the literature in a structured manner and thus enables other applications such as querying and reasoning tools. 	^\d{7}$	0000002	pascale.gaudet@isb-sib.ch	https://biopragmatics.github.io/providers/icepo/$1		https://download.nextprot.org/pub/current_release/controlled_vocabularies/icepo.obo		False																														
icf	International Classification of Functioning, Disability and Health	https://icd.who.int/dev11/l-icf/en	The International Classification of Functioning, Disability and Health, known more commonly as ICF, is a classification of health and health-related domains. As the functioning and disability of an individual occurs in a context, ICF also includes a list of environmental factors. ICF is the WHO framework for measuring health and disability at both individual and population levels.	^\d+$	326705068	info@who.int	https://icd.who.int/dev11/l-icf/en#/http://id.who.int/icd/entity/$1				False	ICF				ICF						2.16.840.1.113883.6.254																			
iclc	Interlab Cell Line Collection	http://www.iclc.it	Cell line collections (Providers)	^\w{3}\d+$	ATL98012		http://www.iclc.it/details/det_list.php?line_id=$1				False						ICLC																								
icldb	Insect Cell Line Database	https://entomology.ca.uky.edu/aginsectcellsdatabase	We have developed an online database describing the known cell lines from Coleoptera, Diptera, Hemiptera, Hymenoptera, and Lepidoptera that originated from crop pest insects. Cell line information has been primarily obtained from previous compilations of insect cell lines. (from homepage)		64ba	surjeet.arya@uky.edu	https://entomology.ca.uky.edu/content/$1				False						ICLDB																								
ico	Informed Consent Ontology	https://github.com/ICO-ontology/ICO	The Informed Consent Ontology (ICO) is an ontology for the informed consent and informed consent process in the medical field.	^\d{7}$	0000066	yongqunh@med.umich.edu	http://purl.obolibrary.org/obo/ICO_$1				False	ICO			ICO	ICO											ico	ico	ICO												
ideal	Intrinsically Disordered proteins with Extensive Annotations and Literature	https://www.ideal-db.org	IDEAL provides a collection of knowledge on experimentally verified intrinsically disordered proteins. It contains manual annotations by curators on intrinsically disordered regions, interaction regions to other molecules, post-translational modification sites, references and structural domain assignments.	^IID\d+$	IID00001	sfukuchi@maebashi-it.ac.jp	http://idp1.force.cs.is.nagoya-u.ac.jp/IDEAL/ideal.php?id=$1				False				IDEAL								nbdc01456		ideal	ideal				701						DB-0251					
ido	Infectious Disease Ontology	http://www.bioontology.org/wiki/index.php/Infectious_Disease_Ontology	Infectious Disease Ontology holds entities relevant to both biomedical and clinical aspects of most infectious diseases.	^\d{7}$	0000504	Lindsay.Cowell@utsouthwestern.edu	http://purl.obolibrary.org/obo/IDO_$1				False	IDO			IDO	IDO									ido	ido	ido	ido	IDO												
idocovid19	The COVID-19 Infectious Disease Ontology	https://github.com/infectious-disease-ontology-extensions/ido-covid-19	The COVID-19 Infectious Disease Ontology (IDO-COVID-19) is an extension of the Infectious Disease Ontology (IDO) and the Virus Infectious Disease Ontology (VIDO). IDO-COVID-19 follows OBO Foundry guidelines, employs the Basic Formal Ontology as its starting point, and covers epidemiology, classification, pathogenesis, and treatment of terms used to represent infection by the SARS-CoV-2 virus strain, and the associated COVID-19 disease.	^\d{7}$	0001191	johnbeverley2021@u.northwestern.edu	http://purl.obolibrary.org/obo/COVIDO_$1	https://raw.githubusercontent.com/infectious-disease-ontology-extensions/ido-covid-19/master/ontology/ido%20covid-19			False	IDO-COVID-19				IDO-COVID-19												idocovid19													
idoden	Dengue Fever Ontology	https://bioportal.bioontology.org/ontologies/IDODEN	An ontology for dengue fever.	^\d{7}$	0003463	elvira@imbb.forth.gr	http://purl.bioontology.org/ontology/IDODEN_$1				False	IDODEN				IDODEN																									
idog	Integrated Resource for Domestic Dog	https://ngdc.cncb.ac.cn/idog/	Provides the worldwide dog research community a variety of data services including access to genes, genomes, SNPs, breed/disease Traits, gene expression experiments, dog-guman homology, and literatur. In addition, iDog provides online tools for performing genomic data visualization and analyses.	^\d+$	4	baoym@big.ac.cn	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=$1				False												nbdc02480										r3d100012176								
idomal	Malaria Ontology	https://www.vectorbase.org/ontology-browser	An application ontology to cover all aspects of malaria as well as the intervention attempts to control it.	^(5?)\d{7}$	0002350	topalis@imbb.forth.gr	http://purl.obolibrary.org/obo/IDOMAL_$1		http://purl.obolibrary.org/obo/idomal.obo		True	IDOMAL			IDOMAL	IDOMAL											idomal	idomal	IDOMAL												
idoo	Identifiers.org Ontology	http://registry.api.hq.identifiers.org/semanticApi/getRegistryOntology	Identifiers.org Ontology	^[0-9a-zA-Z]+$	DataCollection		http://registry.api.hq.identifiers.org/semanticApi/getRegistryOntology#$1				False														idoo	idoo															
idot	Identifiers.org Terms	http://biomodels.net/vocab/idot.rdf	Identifiers.org Terms (idot) is an RDF vocabulary providing useful terms for describing datasets.	^[A-Za-z]+$	identifierPattern		https://biomodels.net/vocab/idot.rdf#$1				False				idot										idot	idot															
idpo	Intrinsically Disordered Proteins Ontology	https://www.disprot.org/ontology	IDPO is used to describe structural aspects of an IDP/IDR, self-functions and functions directly associated with their disordered state. GO is used to describe functional aspects of an IDP/IDR.	^\d{5}$	00056	f.quaglia@ibiom.cnr.it	https://www.disprot.org/idpo/IDPO:$1				False																														
idr	Image Data Resource	https://idr.openmicroscopy.org	"Image Data Resource (IDR) is an online, public data repository that seeks to store, integrate and serve image datasets from published scientific studies. We have collected and are continuing to receive existing and newly created “reference image"" datasets that are valuable resources for a broad community of users, either because they will be frequently accessed and cited or because they can serve as a basis for re-analysis and the development of new computational tools."	^[0-9]{4}$	0001	j.a.moore@dundee.ac.uk	https://idr.openmicroscopy.org/search/?query=Name:idr$1				False														idr								r3d100012435								
iedb.assay	Immune Epitope Database Assays	https://www.iedb.org/	Identifiers for specific experimental assays that serve as evidence for immune-related studies.	^\d+$	1691753	rvita@liai.org	https://www.iedb.org/assay/$1				False												nbdc00924										r3d100012702						iedb		
iedb.epitope	Immune Epitope Database Epitopes	https://www.iedb.org/	Identifiers for epitopes, which are the specific parts of antigens recognized by the immune system.	^\d+$	117395	rvita@liai.org	https://www.iedb.org/epitope/$1				False												nbdc00924									tied	r3d100012702						iedb		
iedb.mhc	Immune Epitope Database MHC Restrictions	https://www.iedb.org/	Identifiers for Major Histocompatibility Complex (MHC) restrictions of immune cells, detailing genetic factors that influence immune recognition.	^\d+$	86	rvita@liai.org	https://www.iedb.org/mhc/$1				False												nbdc00924										r3d100012702						iedb		
iedb.receptor	Immune Epitope Database Receptors	https://www.iedb.org/	Identifiers for immune receptors, representing receptor complexes or groups studied for their interactions with antigens or epitopes.	^\d+$	47	rvita@liai.org	https://www.iedb.org/receptor/$1				False												nbdc00924										r3d100012702						iedb		
iedb.reference	Immune Epitope Database References	https://www.iedb.org/	Identifiers for references, typically linking to sources of evidence such as publications that support data within IEDB.	^\d+$	1038233	rvita@liai.org	https://www.iedb.org/reference/$1				False												nbdc00924		iedb								r3d100012702						iedb		
ieee.author	IEEE Xplore author ID	https://ieeexplore.ieee.org	identifier for an author in IEEE Xplore	^[1-9]\d*$	37271072100		https://ieeexplore.ieee.org/author/$1				False																										P6479				
ieee.document	IEEE Xplore document ID	https://ieeexplore.ieee.org	identifier for a document in IEEE Xplore	^[1-9]\d*$	1580791		https://ieeexplore.ieee.org/document/$1				False																										P6480				
ietf.language	Internet Engineering Task Force Language Tag	http://www.iana.org/assignments/language-subtag-registry/language-subtag-registry	Shorthand representations of languages and their subtypes	^\w{2,3}(-\w+)?$	en-GB					bcp47	False			2022																							P305				
iev	Event (INOH pathway ontology)	http://www.inoh.org	The Event Ontology is an ontology of pathways. It classifies pathways, sub-pathways and other biological phenomena to form a DAG structure.	^\d{7}$	0000000		http://www.inoh.org/ontology-viewer/cgi-bin/InohOVAttr.php?type=IEV&id=$1				True				IEV												iev					iev									
igrhcellid	Integrated Genomic Resources of human Cell Lines for Identification	http://igrcid.ibms.sinica.edu.tw/cgi-bin/index.cgi	Cell line databases/resources		ACHN		http://igrcid.ibms.sinica.edu.tw/cgi-bin/cell_line_view.cgi?cl_name=$1				False						IGRhCellID																								
igsn	International Generic Sample Number	https://ev.igsn.org/home	IGSN is a globally unique and persistent identifier for material samples and specimens.  IGSNs are obtained from IGSN e.V. Agents.	^[A-Za-z]{2,4}[A-Za-z0-9.-]{1,71}$	AU124	jens.klump@csiro.au	http://igsn.org/$1				False														igsn	igsn															
igsr	International Genome Sample Resource	https://www.internationalgenome.org/	The International Genome Sample Resource (IGSR) was established to ensure the ongoing usability of data generated by the 1000 Genomes Project and to extend the data set. The 1000 Genomes Project ran between 2008 and 2015, creating the largest public catalogue of human variation and genotype data. As the project ended, the Data Coordination Centre at EMBL-EBI has received continued funding from the Wellcome Trust to maintain and expand the resource. IGSR was set up to do this and has the following aims: ensure the future access to and usability of the 1000 Genomes reference data; incorporate additional published genomic data on the 1000 Genomes samples; and expand the data collection to include new populations not represented in the 1000 Genomes Project.		NA06985	flicek@ebi.ac.uk	https://www.internationalgenome.org/data-portal/sample/$1				False						IGSR																r3d100010180								
ihw	International Histocompatibility Workshop cell lines	https://www.fredhutch.org/en/research/institutes-networks-ircs/international-histocompatibility-working-group.html	The International Histocompatibility Working Group provides a comprehensive inventory of HLA reference genes to support worldwide research in immunogenetics. We also offer selected cell lines and DNA from our substantial DNA Bank of more than 1,000 cell lines from selected families, as well as individuals with diverse ethnicity and immunologic characteristics.	^IHW\d+$	IHW09326						False						IHW																								
illumina.probe	Illumina Probe Identifier	https://www.ebi.ac.uk/arrayexpress/files/A-GEOD-6790/A-GEOD-6790.adf.txt	Illumina probe identifiers for microarrays, such as those in Illumina HumanRef-6 v2.0 expression beadchip.	^ILMN_\d+$	ILMN_129894						False																														
imanis	Imanis Life Sciences cell line products	https://www.imanislife.com/collections/cell-lines/	Cell line collections (Providers)		CL070		https://www.imanislife.com/?s=$1				False						Imanis																								
imdrf	International Medical Device Regulators Forum	http://www.imdrf.org/	The International Medical Device Regulators Forum (IMDRF) is a forum of voluntary medical device regulators from around the world who have come together to build on the strong foundational work of the Global Harmonization Task Force on Medical Devices (GHTF), and to accelerate international medical device regulatory harmonization and convergence.								False																														
imex	International Molecular Exchange	https://www.imexconsortium.org/	The International Molecular Exchange (IMEx) is a consortium of molecular interaction databases which collaborate to share manual curation efforts and provide accessibility to multiple information sources.	^\d+(-\d+)?$	19210-3	orchard@ebi.ac.uk	https://www.ebi.ac.uk/intact/imex/main.xhtml?query=IM-$1				False				IMEX										imex	imex				422		imex	r3d100010669								
img.gene	Integrated Microbial Genomes Gene	http://img.jgi.doe.gov/	The integrated microbial genomes (IMG) system is a data management, analysis and annotation platform for all publicly available genomes. IMG contains both draft and complete JGI (DoE Joint Genome Institute) microbial genomes integrated with all other publicly available genomes from all three domains of life, together with a large number of plasmids and viruses. This datatype refers to gene information.	^\d+$	638309541	nckyrpides@lbl.gov	http://img.jgi.doe.gov/cgi-bin/w/main.cgi?section=GeneDetail&gene_oid=$1				False				IMG.GENE										img.gene	img.gene						img.gene									
img.taxon	Integrated Microbial Genomes Taxon	http://img.jgi.doe.gov/	The integrated microbial genomes (IMG) system is a data management, analysis and annotation platform for all publicly available genomes. IMG contains both draft and complete JGI (DoE Joint Genome Institute) microbial genomes integrated with all other publicly available genomes from all three domains of life, together with a large number of plasmids and viruses. This datatype refers to taxon information.	^\d+$	648028003	nckyrpides@lbl.gov	http://img.jgi.doe.gov/cgi-bin/w/main.cgi?section=TaxonDetail&taxon_oid=$1				False				IMG.TAXON										img.taxon	img.taxon						img.taxon									
imgt.hla	IMGT/HLA human major histocompatibility complex sequence database	https://www.ebi.ac.uk/imgt/hla/allele.html	IMGT, the international ImMunoGeneTics project, is a collection of high-quality integrated databases specialising in Immunoglobulins, T cell receptors and the Major Histocompatibility Complex (MHC) of all vertebrate species. IMGT/HLA is a database for sequences of the human MHC, referred to as HLA. It includes all the official sequences for the WHO Nomenclature Committee For Factors of the HLA System. This collection references allele information through the WHO nomenclature.	^[A-Z0-9*:]+$	A*01:01:01:01	steven.marsh@ucl.ac.uk	https://www.ebi.ac.uk/cgi-bin/imgt/hla/get_allele.cgi?$1			IPD-IMGT/HLA	False				IMGT.HLA		IPD-IMGT/HLA				2773		nbdc00106		imgt.hla	imgt.hla						imgthla	r3d100010804								
imgt.ligm	ImMunoGeneTics database covering immunoglobulins and T-cell receptors	http://www.imgt.org/	IMGT, the international ImMunoGeneTics project, is a collection of high-quality integrated databases specialising in Immunoglobulins, T cell receptors and the Major Histocompatibility Complex (MHC) of all vertebrate species. IMGT/LIGM is a comprehensive database of fully annotated sequences of Immunoglobulins and T cell receptors from human and other vertebrates.	^M\d+$	M94112	marie-paule.lefranc@umontpellier.fr	http://www.imgt.org/ligmdb/view?id=$1				False				IMGT.LIGM										imgt.ligm	imgt.ligm						imgt.ligm									
imgt.primerdb	IMGT/PRIMER-DB	http://imgt.org/IMGTPrimerDB/	The IMGT/PRIMER-DB database provides standardized information on oligonucleotides or primers of the immunoglobulins (IG) and T cell receptors (TR).		IPP900099		http://imgt.org/IMGTPrimerDB/Check_PrDB.pl?numacc0=$1&origin=view&source=PrList				False																					imgt.primerdb	r3d100012535								
imotdb	Database of Spatially Interacting Motifs in Proteins	http://caps.ncbs.res.in/imotdb/	The interacting motif database or iMOTdb , lists interacting motifs thatare identified for all structural entries in the PDB. The conserved patterns or finger prints are identified for individual structural entries and also grouped together for reporting the common motifs shared among all superfamily members.		53784		http://caps.ncbs.res.in/cgi-bin/mini/databases/imotdb/imotdb.cgi?sfcode=$1				True																			207		imotdb									
imr	Molecule role (INOH Protein name/family name ontology)	http://www.inoh.org	MoleculeRole Ontology is an ontology for proteins/chemicals. It is used to annotate protein family names, generic/concrete protein names and chemical names in the INOH pathway data.	^\d{7}$	0000001	curator@inoh.org	http://www.inoh.org/ontology-viewer/cgi-bin/InohOVAttr.php?type=IMR&id=$1				True				IMR												imr					imr									
imsr.apb	NHMRC Australian PhenomeBank	https://pb.apf.edu.au/phenbank/homePage.html	The NHMRC Australian PhenomeBank (APB) is a non-profit repository of mouse strains used in Medical Research. The database allows you to search for murine strains, housed or archived in Australia, carrying mutations in particular genes, strains with transgenic alterations and for mice with particular phenotypes. 1876 publicly available strains, 922 genes, 439 transgenes The APB has two roles: Provide and maintain a central database of genetically modified mice held in Australia either live or as cryopreserved material; Establish and maintain a mouse strain archive. Strains are archived as cryopreserved sperm or embryos. [from RRID]	^\d+$	7345		https://pb.apf.edu.au/phenbank/strain.html?id=$1				False																							IMSR_APB							
imsr_em	European Mouse Mutant Archive	https://www.infrafrontier.eu/emma/	Non-profit repository for the collection, archiving (via cryopreservation) and distribution of relevant mutant strains essential for basic biomedical research. Users may browse by strain, gene, phenotype, or human disease. Its primary objective is to establish and manage a unified repository for maintaining medically relevant mouse mutants and making them available to the scientific community. Therefore, EMMA archives mutant strains and distributes them to requesting researchers. EMMA also hosts courses in cryopreservation, to promote the use and dissemination of frozen embryos and spermatozoa. Dissemination of knowledge is further fostered by a dedicated resource database. Anybody who wants their mutant mouse strains cryopreserved may deposit strains with EMMA. However depositors must be aware that these strains become freely available to other researchers after being deposited.With more than 8400 mutant mouse strains and asmall but increasing number of rat mutant strains available, EMMA is the primary mouse repository in Europe and the third largest non-profit repository worldwide. [from RRID]	^\d+$	11478	d.smedley@qmul.ac.uk	https://www.infrafrontier.eu/emma/strain-search/straindetails/?q=$1				False																							IMSR_EM							
imsr_tac	Taconic Biosciences	https://www.taconic.com/	Supplier of mice for research purposes. [from RRID]		1178		https://scicrunch.org/resolver/RRID:IMSR_TAC_$1				False																							IMSR_TAC							
inaturalist.observation	iNaturalist Observation	https://www.inaturalist.org/observations	The identifier for an observation in iNaturalist	^[1-9]\d*$	36010371		https://www.inaturalist.org/observations/$1				False																										P5683				
inaturalist.place	iNaturalist Place	https://www.inaturalist.org/places	Identifier for a place in iNaturalist	^[1-9]\d*$	7207		https://www.inaturalist.org/places/$1				False																										P7471				
inaturalist.taxon	iNaturalist Taxonomy	https://www.inaturalist.org/taxa	Identifier for a species in iNaturalist	^[1-9]\d{0,6}$	21723		https://www.inaturalist.org/taxa/$1				False																										P3151				
inaturalist.user	iNaturalist User	https://www.inaturalist.org/users	Identifier for a user in iNaturalist	^[1-9]\d*$	1426686		https://www.inaturalist.org/users/$1				False																														
inchi	InChI	http://www.chemspider.com/	The IUPAC International Chemical Identifier (InChI) is a non-proprietary identifier for chemical substances that can be used in printed and electronic data sources. It is derived solely from a structural representation of that substance, such that a single compound always yields the same identifier.	^InChI\=1S?\/[A-Za-z0-9\.]+(\+[0-9]+)?(\/[cnpqbtmsih][A-Za-z0-9\-\+\(\)\,\/\?\;\.]+)*$	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	jmg11@cam.ac.uk	http://www.chemspider.com/$1				False				INCHI										inchi	inchi											P234				
inchikey	InChIKey	http://www.chemspider.com/	The IUPAC International Chemical Identifier (InChI, see MIR:00000383) is an identifier for chemical substances, and is derived solely from a structural representation of that substance. Since these can be quite unwieldly, particularly for web use, the InChIKey was developed. These are of a fixed length (25 character) and were created as a condensed, more web friendly, digital representation of the InChI.	^[A-Z]{14}\-[A-Z]{10}(\-[A-Z])?$	RYYVLZVUVIJVGH-UHFFFAOYSA-N		http://legacy.chemspider.com/inchikey=$1				False				INCHIKEY										inchikey	inchikey									InchiKey		P235				
informall	InformAll Allergenic Food Database	http://research.bmh.manchester.ac.uk/informAll/	The InformAll database was developed to provide a credible source of information on allergenic food materials of both plant and animal origin.	^\d+$	410		http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=$1				False																														
inhand	The International Harmonization of Nomenclature and Diagnostic criteria	https://www.goreni.org/gr3_nomenclature.php	The standard reference for nomenclature and diagnostic criteria in toxicologic pathology.			harkemaj@msu.edu					False																														
inn	International Nonproprietary Names	https://www.who.int/teams/health-product-and-policy-standards/inn	Documentation of GO that provides a description of some of the commonly used relationships and conventions in GO.		fluticasone		https://mednet-communities.net/inn/db/ViewINN.aspx?i=$1			INN_ID	False																										P2275				
innatedb	A Knowledge Resource for Innate Immunity Interactions and Pathways	http://www.innatedb.ca/	InnateDB has been developed to facilitate systems level investigations of the mammalian (human, mouse and bovine) innate immune response. Its goal is to provide a manually-curated knowledgebase of the genes, proteins, and particularly, the interactions and signaling responses involved in mammalian innate immunity. InnateDB incorporates information of the whole human, mouse and bovine interactomes by integrating interaction and pathway information from several of the major publicly available databases but aims to capture an improved coverage of the innate immunity interactome through manual curation.		20021	david.lynn@flinders.edu.au	http://www.innatedb.ca/getGeneCard.do?id=$1				False												nbdc01870							264		innatedb	r3d100010676								
ino	Interaction Network Ontology	https://github.com/INO-ontology/ino	he Interaction Network Ontology (INO) is an ontology in the domain of interactions and interaction networks. INO represents general and species-neutral types of interactions and interaction networks, and their related elements and relations. INO is a community-driven ontology, aligns with BFO, and is developed by following the OBO Foundry principles.	^\d{7}$	0000003	yongqunh@med.umich.edu	http://purl.obolibrary.org/obo/INO_$1				False	INO				INO											ino	ino	INO												
insdc	Nucleotide Sequence Database	https://www.ncbi.nlm.nih.gov/Genbank/	The International Nucleotide Sequence Database Collaboration (INSDC) consists of a joint effort to collect and disseminate databases containing DNA and RNA sequences.	^([A-Z]\d{5}|[A-Z]{2}\d{6}|[A-Z]{4,6}\d{8,10}|[A-J][A-Z]{2}\d{5})(\.\d+)?$	X58356		https://www.ncbi.nlm.nih.gov/nuccore/$1				False				INSDC								nbdc02567		insdc	insdc						insdc			Insdc						
insdc.cds	INSDC CDS	http://getentry.ddbj.nig.ac.jp	The coding sequence or protein identifiers as maintained in INSDC.	^([A-Z]\d{5}|[A-Z]{2}\d{6}|[A-Z]{4}\d{8}|[A-J][A-Z]{2}\d{5})(\.\d+)?$	AAA35559		http://getentry.ddbj.nig.ac.jp/getentry/dad/$1				False				INSDC.CDS										insdc.cds	insdc.cds															ncbiprotein
insdc.gca	Genome assembly database - INSDC accessions	https://www.ebi.ac.uk/ena/browse/genome-assembly-database	The genome assembly database contains detailed information about genome assemblies for eukaryota, bacteria and archaea. The scope of the genome collections database does not extend to viruses, viroids and bacteriophage.	^GCA_[0-9]{9}(\.[0-9]+)?$	GCA_000155495.1		https://www.ebi.ac.uk/ena/data/view/$1				False				INSDC.GCA										insdc.gca	insdc.gca															ncbi.assembly
insdc.gcf	Genome assembly database - RefSeq accessions	https://www.ncbi.nlm.nih.gov/	The genome assembly database contains detailed information about genome assemblies for eukaryota, bacteria and archaea. The scope of the genome collections database RefSeq accessions does not extend to viroids and bacteriophage.	^GCF_[0-9]{9}(\.[0-9]+)?$	GCF_000001405		https://www.ncbi.nlm.nih.gov/datasets/genome/$1			insdc.gcf	False														refseq.gcf																ncbi.assembly
insdc.run	International Nucleotide Sequence Database Collaboration (INSDC) Run	https://www.insdc.org/	An experimental run, served thrugh the ENA	^(E|D|S)RR[0-9]{6,}$	ERR436051		https://www.ebi.ac.uk/ena/browser/view/$1				False																														
insdc.sra	Sequence Read Archive	https://www.ncbi.nlm.nih.gov/sra	The Sequence Read Archive (SRA) stores raw sequencing data from the next generation of sequencing platforms Data submitted to SRA. It is organized using a metadata model consisting of six objects: study, sample, experiment, run, analysis and submission. The SRA study contains high-level information including goals of the study and literature references, and may be linked to the INSDC BioProject database.	^[SED]R[APRSXZ]\d+$	SRX000007	Hugh.Shanahan@rhul.ac.uk	https://www.ncbi.nlm.nih.gov/sra/$1				False				INSDC.SRA										insdc.sra	insdc.sra							r3d100010775								
