prefix	status	preferred_prefix	name	homepage	description
2.16.840.1.113883.6.207	Pending	NCISEER	NCI SEER ICD Mappings		NCI Surveillance, Epidemiology, and End Results (SEER) conversions between ICD-9-CM and ICD-10 neoplasm codes. National Cancer Institute, Bethesda, MD. Release Date: June 1999. URL: http://www-seer.ims.nci.nih.gov/Admin/ConvProgs/ Phone: 301-496-8510.
2.16.840.1.113883.6.21	Complete	nubc-UB92	NUBC UB92	http://www.nubc.org/	National Uniform Billing Council, UB 92
2.16.840.1.113883.6.210	Pending	NEU	Neuronames Brain Hierarchy		Bowden, Douglas M., Martin, Richard F., Dubach, Joev G. Neuronames Brain Hierarchy. Seattle (WA): University of Washington, Primate Information Center, 1999. http://rprcsgi.rprc.washington.edu/neuronames/
2.16.840.1.113883.6.211	Pending	NLM-MED	Medline Data		National Library of Medicine (NLM) Medline Data. Bethesda (MD): National Library of Medicine. Contact: http://www.nlm.nih.gov.
2.16.840.1.113883.6.212	Pending	PCDS	Patient Care Data Set		Ozbolt, Judy Grace. Patient Data Care Set (PCDS), Version 4.0, 1998.Contact: judy.ozbolt@mcmail.vanderbilt.edu; Vanderbilt University School of Nursing; 400-C Godchaux Hall; Nashville, TN 37240-0008; Telephone 615-343-3291
2.16.840.1.113883.6.213	Pending	PDQ	Physician Data Query		Physician Data Query (PDQ). Bethesda, MD: National Cancer Institute, 2004.
2.16.840.1.113883.6.214	Pending	PPAC	Pharmacy Practice Activity Classification		Pharmacy Practice Activity Classification (PPAC). Version 1. Washington (DC): American Pharmaceutical Association, 1998.
2.16.840.1.113883.6.215	Pending	PSY	Psychological Index Terms		Thesaurus of Psychological Index Terms, Ninth Edition. Washington (DC): American Psychological Association, 2001.
2.16.840.1.113883.6.216	Pending	QMR	Quick Medical Reference		Quick Medical Reference (QMR). San Bruno (CA): First DataBank, 1997.
2.16.840.1.113883.6.217	Pending	RAM	Clinical Concepts by R A Miller		QMR clinically related terms from Randolf A. Miller, 1999.
2.16.840.1.113883.6.22	Complete	pnds	Perioperative Nursing Data Set		The PNDS provides standardized terms and codes for patient problems/nursing diagnoses, nursing interventions including actual or expected (goal) outcomes.   The PNDS provides standardized terms and codes for nursing interventions and outcome, as well as incorporating a subset of NANDA Nursing Diagnoses.  The NANDA diagnoses in the PNDS have already been registered by HL7.  The PNDS intervention and outcome statements have recently undergone a revision and update for integration into AORN&#732;s standardized perioperative documentation framework.  While the PNDS model remains the same, the interventions have been subdivided to demonstrate the nursing process and perioperative plan of care.  A conversion table is provided with the updated PNDS codes to the previous version of PNDS.  For more information go to www.aorn.org or pnds@aorn.org
2.16.840.1.113883.6.220	Pending	RCDSY	Read Codes Synth		Synthesized Read terms (without initial bracketed letters) of the Clinical Terms Version 3 (Q1, 1999), produced by NLM. Bethesda (MD): National Library of Medicine, UMLS project, 1999.
2.16.840.1.113883.6.220.1	Pending	RCDSA	Read Codes Am Synth		American English equivalent of synthesized terms from the Clinical Terms Version 3 (Q1, 1999), produced by NLM. Bethesda (MD): National Library of Medicine, UMLS project, 1999.
2.16.840.1.113883.6.220.2	Pending	RCDAE	Read Codes Am Engl		American English equivalent of the Clinical Terms Version 3 (Q1, 1999), produced by NLM. Bethesda (MD): National Library of Medicine, UMLS project, 1999.
2.16.840.1.113883.6.224	Pending	SPN	Standard Product Nomenclature		Standard Product Nomenclature (SPN). Rockville, (MD); U.S. Food and Drug Administration, 2003
2.16.840.1.113883.6.226	Pending	ULT	UltraSTAR		Bell, Douglas. Ultrasound Structured Attribute Reporting (UltraSTAR). Boston (MA): Brigham & Womens Hospital, 1993.
2.16.840.1.113883.6.227	Pending	UMD	Universal Medical Devices Nomenclature		UniversalMedical Device Nomenclature System: Product Category Thesaurus. Plymouth Meeting (PA): ECRI, 2004.
2.16.840.1.113883.6.227.1	Pending	DMDUMD	Universal Medical Devices Nomenclature German		Die Nomenklatur fuer Medizinprodukte UMDNS [German translation of UMDNS]. Germany: Deutsches Institut fuer Medizinische Dokumentation und Information, 1996.
2.16.840.1.113883.6.228	Pending	UWDA	Digital Anatomist		University of Washington Digital Anatomist, (UWDA). Seattle (WA): University of Washinton, Version 1.7.3, March, 2003. Jose Mejino, M.D.; email: onard@biostr.washington.edu
2.16.840.1.113883.6.23	Complete	nmmds	Nursing Management Minimum Data Set		The NMMDS is the minimum set of items of information with uniform definitions and categories concerning the specific dimension of the context of patient care delivery.  It represents the minimum data used to support the management and administration of patient/nursing care delivery across all types of settings.  The NMMDS is composed of seventeen (17) data elements organized into three categories: environment, nurse resources, and financial resources.  See Tables 1-3 for the elements and related definitions organized by each categories.  The NMMDS most appropriately focuses at the first level of accountability for patient/client/family/community nursing care: this may be the delivery unit, service, or center of excellence level.  The NMMDS supports numerous constructed variables as well as aggregation of data at the unit, institution, network, and system, etc levels.  This minimum data set provides the structure for the collection of uniform information that influences quality of patient care, directly and indirectly.
2.16.840.1.113883.6.230	Complete	whoARTfl	WHO Adverse Reaction Terms foreign language translations	http://www.who-umc.org/	WHO Adverse Drug Reaction Terminology (WHOART). Uppsala (Sweden): WHO Collaborating Centre for International Drug Monitoring, 1997.  This branch node OID contains identifiers for the different foreign language versions of this terminology.  For more information, see http://www.umc-products.com/graphics/3149.pdf
2.16.840.1.113883.6.230.1	Complete	whoFRE	WHO Adverse Reaction Terms French	http://www.who-umc.org/	WHO Adverse Drug Reaction Terminology (WHOART). French Translation. Uppsala (Sweden): WHO Collaborating Centre for International Drug Monitoring, 1997.   For more information, see http://www.umc-products.com/graphics/3149.pdf
2.16.840.1.113883.6.230.2	Complete	whoGER	WHO Adverse Reaction Terms German	http://www.who-umc.org/	WHO Adverse Drug Reaction Terminology (WHOART). German Translation. Uppsala (Sweden): WHO Collaborating Centre for International Drug Monitoring, 1997.   For more information, see http://www.umc-products.com/graphics/3149.pdf
2.16.840.1.113883.6.230.3	Complete	whoPOR	WHO Adverse Reaction Terms Portuguese	http://www.who-umc.org/	WHO Adverse Drug Reaction Terminology (WHOART). Portuguese Translation. Uppsala (Sweden): WHO Collaborating Centre for International Drug Monitoring, 1997.   For more information, see http://www.umc-products.com/graphics/3149.pdf
2.16.840.1.113883.6.230.4	Complete	whoSPA	WHO Adverse Reaction Terms Spanish	http://www.who-umc.org/	WHO Adverse Drug Reaction Terminology (WHOART). Spanish Translation. Uppsala (Sweden): WHO Collaborating Centre for International Drug Monitoring, 1997.   For more information, see http://www.umc-products.com/graphics/3149.pdf
2.16.840.1.113883.6.231	Complete	uspostalcodes	US Postal Codes	http://www.usps.com/	"Coding system of defined postal (ZIP) codes for the United States of America. This includes both the standard 5 digit codes and the """"ZIP+4"""" codes that add a hyphen and 4 additional digits. Both the standard code and the extension can have leading zeros."
2.16.840.1.113883.6.232	Complete	sic	US Census Bureau	http://www.census.gov/epcd/www/sic.html	The Standard Industrial Classification Codes that appear in a company's disseminated EDGAR filings indicate the company's type of business. These codes are also used in the Division of Corporation Finance as a basis for assigning review responsibility for the company's filings. For example, a company whose business was Metal Mining (SIC 1000) would have its filings reviewed by staffers in A/D Office 4.Note that this code system is published both by the US Bureau of Labor Statistics (BLS) at http://www.sec.gov/info/edgar/siccodes.htm, and by the US Occupational & Safety Health Administration (OSHA) at http://www.osha.gov/pls/imis/sic_manual.html.
2.16.840.1.113883.6.233	Complete	VHA	US Department of Veterans Affairs		VHA Enterprise Reference Terminology is based on CHI standard terminologies (e.g., SNOMED-CT, LOINC, HL7, NDF-RT, etc.) when available and on VHA own code sets when necessary (e.g., allergens). All concepts used within the VHA clinical environment receive a VHA Unique IDentifier or VUID.VHA Enterprise Reference Terminology complies with the semantics of the HL7 message structure
2.16.840.1.113883.6.234	Complete	ahfs	American Society of Health-System Pharmacists	http://www.ahfsdruginformation.com/class	AHFS Pharmacologic-Therapeutic Classification System, a coding system of classifier for various pharmologic substances.  For more information, see http://www.ahfsdruginformation.com/class
2.16.840.1.113883.6.235	Complete	csaid	CSAID		Nature of injury (NOI) codes, which are part of the Work Injury or Disease Information coding system (CAN/CSA-Z795-96 - R2003).The CSA code set includes 3 parts: Nature of injury (NOI), body part (BP), side of body (SB).  For example: NOI - Cut or laceration Injury = 03400BP - Upper Arm body part = 31100SOB - Left Side of Body = LThe Body Part codes are qualified by the Side of Body codes code system, to be more precise in specifying the location of the injury being coded.Code set is maintained by the Canadian Standards Association (CSA).Phone: (416) 747-4000 1-800-463-6727 Fax: (416) 747-2473
2.16.840.1.113883.6.236	Complete	ccc	Clinical Care Classification System	http://www.sabacare.com/	Clinical Care Classification System Version 2.5 release is an updated version of version 20. published in 2004 when the system name(formerly Home Health Care Classification system) codes was change.  The CCC System consists of two interrelated terminologies: CCC of 176 Nursing Diagnoses( which includes 528 CCC Nursing Outcomes from each nursing diagnoses combined with one of three qualifiers (Improved, stanbilized, or deteriorated) to document the expected or actual outcomes). The second terminology is the CCC of 804 Nursing Interventions which represents 201 Core Nursing Interventions each of which has to be combined with one of four Action Type Qualifiers (Assess/Monitor; Perform/Care. Teach/Instruct, or Manage/Refer).  Both of the terminologies are classified by 21 Care Components to form a single system.  The CCC System consists of a four level structure designed to document nursing practice following the six steps of the nursing process as recommended by the American Nurses Assocation (ANA) as professional nursing practice and for documenting the 'essence of care'. The ANA recognized the CCC System as early as 1992 and was one of the four earliest nursing terminologies designed to document nursing practice electronically in any healthcare setting where nurses function e.g. hospitals, outpatient departments, home health agencies, ambulatory care clinics, and other health care settings. The CCC System was the first nursing terminology to be recognized by the Secretary of HHS as interoperable and usable for documenting in the electronic health record systems. It is available as a free terminology with Permission -- fomr found on its web Site.  For further information do visit its web site: http:www.Sabacare.com orhttp:www.clinicalcareclassification.comir contact Dr. Virginia K. Saba at vsaba@att.net
2.16.840.1.113883.6.238	Complete	PH_RaceAndEthnicity_CDC	PH_RaceAndEthnicity_CDC	http://www.cdc.gov/phin	Codes for Race, authored and maintained by the CDC
2.16.840.1.113883.6.239	Complete	CDA_RUS	CDA_RUS		Coding system intended for use in the Russian clinical documents
2.16.840.1.113883.6.24	Complete	mdc	ISO 11073-10101 Health informatics Point-of-care medical device communication - Nomenclature	http://www.hl7.org	The nomenclature relates primarily to vital signs monitoring, but also includes semantics of other medical devices that are commonly used in acute care settings.  There are multiple coding partitions each of which has a systematic name consisting of a set of base concepts and differentiating criteria.
2.16.840.1.113883.6.240	Complete	US_COC	US Census Occupation Code	http://www.census.gov	Coding system of United States Census Occupation Codes, published by the US Governmetn Bureau of the Census.  Doucmentation and Crosswalk mapping between the COC and the SOC and NAICS code systems available at http://www.census.gov/hhes/www/ioindex/view.html
2.16.840.1.113883.6.241	Complete	scdHECGISSpatialAccuracyTiers	SCDHEC GIS Spatial Accuracy Tiers		The South Carolina Department of Health and Environmental Control GIS Spatial Data Accuracy Tiers have been derived from the National Standard for Spatial Data Accuracy as a means to categorize the accuracy of spatial data assignment utilizing a variety of tools for capturing coordinates including digitizers, geocoding software and global positioning system devices.
2.16.840.1.113883.6.242	Complete	epsg-GeodeticParameterDataset	EPSG Geodetic parameter dataset	http://www.epsg.org/	The EPSG (European Petroleum Survey Group) dataset represents all Datums, coordinate references (projected and 2D geographic) and coordinate systems (including Cartesian coordinate systems) used in surveying worldwide.  Each record includes a 4-8 digit unique identifier. The current version is available from http://www.epsg.org/.  The database contains over 4000 records covering spatial data applications worldwide.
2.16.840.1.113883.6.243	Complete	soc	Standard Occupation Code	http://www.bls.gov/soc/	The Standard Occupational Classification (SOC) system is used by Federal statistical agencies to classify workers into occupational categories for the purpose of collecting, calculating, or disseminating data. All workers are classified into one of over 820 occupations according to their occupational definition. To facilitate classification, occupations are combined to form 23 major groups, 96 minor groups, and 449 broad occupations. Each broad occupation includes detailed occupation(s) requiring similar job duties, skills, education, or experience.  This code system replaced the older FIPSPUB92, which was withdrawn in February 2005.
2.16.840.1.113883.6.244	Complete	d1cs	DiagnosisONE Coding System	http://www.diagnosisone.com	DiagnosisONE Coding System.
2.16.840.1.113883.6.245	Complete	usBoardonGeographicNames	U.S. Board on Geographic Names	http://geonames.usgs.gov/index.html	The U.S. Board on Geographic Names is a Federal body created in 1890 and established in its present form by Public Law in 1947 to maintain uniform geographic name usage throughout the Federal Government. The Board comprises representatives of Federal agencies concerned with geographic information, population, ecology, and management of public lands. Sharing its responsibilities with the Secretary of the Interior, the Board promulgates official geographic feature names with locative attributes as well as principles, policies, and procedures governing the use of domestic names, foreign names, Antarctic names, and undersea feature names.
2.16.840.1.113883.6.246	Pending	Telin	Telin		CDM messaging
2.16.840.1.113883.6.247	Complete	ethNICITY	ETHNICITY		Relating to large groups of people classed according to common racial, national, tribal, religious, or cultural origin or background.
2.16.840.1.113883.6.248	Complete	firSTNATIONSSTATUS	FIRST NATIONS STATUS		Status indicator used to determine whether the individual lives or does not live on an Indian Reserve.
2.16.840.1.113883.6.249	Complete	metabolicSyndrome	METABOLIC SYNDROME		A collection of metabolic risk factors in one individual. The root causes of metabolic syndrome are overweight / obesity, physical inactivity, and genetic factors. Various risk factors have been included in metabolic syndrome. Factors generally accepted as being characteristic of this syndrome include abdominal obesity, atherogenic dyslipidemia, raised blood pressure, insulin resistence with or without glucose intolerance, prothrombotic state, and proinflammatory state.
2.16.840.1.113883.6.25	Complete	abcCodes	ABCcodes	http://www.alternativelink.com/ali/home/default.asp	These codes fit into standard message formats for HCPCS codes that are a named standard.ABC codes represent over 4,500 healthcare products and services. They fill gaps in older medical code sets such as CPT ® and HCPCS II and the retirement of state-specific HCPCS III codes.   ABCcodes are a shorthand means of documenting healthcare procedures and treatments. Codes are an essential tool when computers are used to reduce paperwork and costs. Codes are also essential for managing the healthcare supply chain.   The codes reflect care that is not described by conventional or allopathic centric code sets. ABC codes describe nursing, behavioral health, alternative medicine, ethnic and minority care, midwifery and spiritual care.
2.16.840.1.113883.6.250	Complete	retINOPATHYINTERPRETATION	RETINOPATHY INTERPRETATION		Many times in addition to (or possibly instead of) reporting a physical measurement, a laboratory will indicate that the reported value is 'high', 'low', 'normal', or some other coded interpretation. Even when there is a value, interpretation is often offered to help convey the significance of a particular result.
2.16.840.1.113883.6.251	Complete	smoKER	SMOKER		"The person's use of and exposure to tobacco both in the past and currently. Questions to be answered include: Are they currently smoking (""current""), have they never smoked (""never""), have they smoked in the past but now stopped (""past""), or are they living with someone who smokes or being exposed to cigarette smoke frequently at home or in the work place (""passive"")."
2.16.840.1.113883.6.252	Complete	diaGNOSTICIMAGEMETHODCODE	DIAGNOSTIC IMAGE METHOD CODE		Indicates the means or technique used to perform the imaging.
2.16.840.1.113883.6.253	Complete	mddid	MDDID		Medispan Drug Descriptor IDEntry autogenerated to support Sources from the UMLS.  Full metadata set still incomplete.
2.16.840.1.113883.6.255	Complete	x12.3	X12.3 Data Elementary Dictionary		X12.3 Data Elementary DictionaryThis is the root OID for vocabulary defined internally by X12N. OIDs for each vocabulary will be assigned underneath this OID by appending the X12N data element id to the root OID. Data Element 1336 is Insurance Type Code, so the OID for the X12N Insurance Type Code vocabulary will be 2.16.840.1.113883.6.255.1336
2.16.840.1.113883.6.255.1336	Complete	x12N-1336	Insurance Type Code		Insurance Type Code
2.16.840.1.113883.6.257	Complete	mds	Minimum Data Set for Long Term Care		The Minimum Data Set for Long Term Care Version 2.0 (MDS 2.0) is a federally mandated (in the United States) standard assessment form. This instrument is specified by the Centers for Medicare and Medicaid Services, and requires nursing facilities to conduct a comprehensive, accurate, standardized, reproducible assessment of each resident&#732;s functional capacity.The MDS specifies a number of answer lists used in the responses to the questions posed.  Each answer list has been assigned a number. This OID is the root OID for assigning OIDs to the MDS answer lists.
2.16.840.1.113883.6.258	Complete	caefi-rcco	Canadian Adverse Event Following Immunization reporting criteria and concurrent observations	http://www.phac-aspc.gc.ca/im/aefi-form_e.html	A set of codes describing the minimum data set for reporting adverse event information to Public Health Agency of Canada (PHAC) using the Canadian Adverse Event Following Immunization (CAEFI) and Health Canada paper forms currently in place for adverse event reporting.
2.16.840.1.113883.6.259	Complete	hsloc	Healthcare Service Location	http://www.cdc.gov/phin/	A comprehensive classification of locations and settings where healthcare services are provided. This code system is based on the NHSN location code system that has been developed over a number of years through CDC's interaction with a variety of healthcare facilities and is intended to serve a variety of reporting needs where coding of healthcare service locations is required.The content, including relationships, can be acced at the  following location:  http://www.cdc.gov/phin/activities/standards/vocabulary/index.html
2.16.840.1.113883.6.26	Complete	medcin	MEDCIN	http://www.medicomp.com	MEDCIN contains more than 175,000 clinical data elements arranged in a hierarchy, with each item having weighted links to relevant diagnoses.  The clinical data elements are organized into six basic termtypes designed to accommodate information relevant to a clinical encounter.  The basic termtypes in MEDCIN’s terminological hierarchy are as follows:SymptomsHistoryPhysical ExaminationTestsDiagnosesTherapyWithin this basic structure, MEDCIN terms are further organized in a ten level terminological hierarchy, supplemented by an optional, multi-hierarchical diagnostic index.  For example, the symptom of “difficulty breathing” is placed in the terminological hierarchy as a subsidiary (or “child”) finding of “pulmonary symptoms,” although the presence (or absence) of difficulty breathing can related to conditions as diverse as myocardial infarction, bronchitis, pharyngeal foreign bodies, asthma, pulmonary embolism, etc.  MEDCIN’s diagnostic index provides more than 800 such links for difficulty breathing.
2.16.840.1.113883.6.260	Complete	icd-10-dualCoding	ICD-10 Dual Coding	http://www.who.int/classifications/icd/en/	"ICD-10 allows dual coding. Refer to Section 3.1.3 of the ICD-10 Instruction Manual (2nd Edition, http://www.who.int/entity/classifications/icd/ICD-10_2nd_ed_volume2.pdf). This OID identifies the code system that describes how to encode Dual Coding in a CD compatible expression (for Datatypes R2 CD only).An ICD-10 dual code expression SHALL consist of two ICD-10 codes separated by space. This code system SHALL NOT be used for single ICD-10 codes; the normal ICD-10 code system oid which is 2.16.840.1.113883.6.3 should be used in this case.Dual code expressions SHALL only be used per the rules described in the ICD-10 instruction manual.An example CD:<example code=""J21.8 B95.6"" codeSystem=""2.16.840.1.113883.6.260"">  <originalText value=""Staph aureus bronchiolitis""/></example>J21.8 is: Acute bronchiolitis due to other specified organismsB95.6 is: Staphylococcus aureus as the cause of diseases classified to other chapters"
2.16.840.1.113883.6.261	Edited	ICD-9 Dual Coding	ICD-9 Dual Coding	http://www.hl7.org	"ICD-9 Dual Coding Expression Syntax"", description: ICD-9 allows dual coding. Refer to Section ?? of the ICD-9 Instruction Manual (ref?). This OID identifies the code system that describes how to encode Dual Coding in a CD compatible expression (for Datatypes R2 CD only).An ICD-9 dual code expression SHALL consist of two ICD-9 codes separated by space. This code system SHALL NOT be used for single ICD-9 codes; the normal ICD-9 code system oid which is 2.16.840.1.113883.6.3 should be used in this case. DisplayName SHALL not be used.Dual code expressions SHALL only be used per the rules described in the ICD-9 instruction manual.An example CD:<example code=""989.5 E905.9"" codeSystem=""2.16.840.1.113883.6.261"">  <originalText value=""ANAPHYLAXIS DUE TO BITE OR STING""/></example>989.5 is: Toxic effect of venomE905.9 is: Bite or string"
2.16.840.1.113883.6.262	Retired	NHSNSpinalFusionApproach	NHSN Spinal Fusion Approach	http://www.cdc.gov	NHSN Spinal Fusion ApproachThis was created erroneously back in 2008, it is not a code system.  This is intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.263	Retired	NHSNHipReplacement	NHSN Hip Replacement	http://www.cdc.gov	NHSN Hip Replacement This was created erroneously back in 2008, it is not a code system.  This is intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.264	Retired	NHSNKneeReplacement	NHSN KneeR eplacement	http://www.cdc.gov	NHSN Knee ReplacementThis was created erroneously back in 2008, it is not a code system.  This is intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.265	Retired	NHSNSSILocationType	NHSN SSI Location Type	http://www.cdc.gov	NHSN SSI LocationTypeThis was created erroneously back in 2008, it is not a code system.  This is intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.266	Retired	NHSNBSIRiskFactors	NHSN BSI Risk Factors	http://www.cdc.gov	NHSN Blood Stream Infection Risk FactorsThis was created erroneously back in 2008, it is not a code system.  This is (or was) intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.267	Retired	NHSNLCBIPathways	NHSN LCBI Pathways	http://www.cdc.gov	NHSN Laboratory Confirmed Bloodstream Infection PathwaysThis was created erroneously back in 2008, it is not a code system.  This is (or was) intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.268	Retired	NHSNInfectionType	NHSN Infection Type	http://www.cdc.gov	NHSN Infection Type This was created erroneously back in 2008, it is not a code system.  This is (or was) intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.269	Retired	NHSNSpinalFusionLevel	NHSN Spinal Fusion Level	http://www.cdc.gov	NHSN Spinal Fusion LevelThis was created erroneously back in 2008, it is not a code system.  This is (or was) intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.27	Complete	multum	Multum Lexicon	http://www.multum.com	Broadly, the fields and values in the Multum Lexicon and the VantageRx Database are intended to be available for use in any HL7 message that includes a reference to non-veterinary drug products or active ingredients that are either approved for sale by the FDA or readily available in the United States.  The following inter-related definitions recently circulated by us to the HL7 Vocabulary Technical Committee explain the scope of what we mean by “drug product” and “active ingredient”.  (A definition for “drug ingredient” is also provided here because the definition of “active ingredient” is reliant on this term.)Drug ProductA drug product is a manufactured or extemporaneously-compounded physiologically-active material intended by the preparer to achieve therapeutic, diagnostic, or preventative effects via biochemical mechanisms when applied to an epithelial surface or placed in an internal body space of a targeted organism.Drug IngredientA drug ingredient is a chemical compound or biologic agent that occurs in a drug product.Active IngredientAn active ingredient is a drug ingredient that mediates one or more of the intended therapeutic, diagnostic, or preventative effects of a drug product and is present in sufficient quantities to achieve such effects according to the allopathic tradition of healthcare practice.
2.16.840.1.113883.6.270	Retired	NHSNSummaryData	NHSN Summary Data	http://www.cdc.gov	NHSN Summary DataThis was created erroneously back in 2008, it is not a code system.  This is (or was) intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.271	Retired	NHSNProcedureCategory	NHSN Procedure Category	http://www.cdc.gov	NHSN Procedure CategoryThis was created erroneously back in 2008, it is not a code system.  This is (or was) intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.272	Retired	NHSNSSIAnatomicSite	NHSN SSI Anatomic Site	http://www.cdc.gov	NHSN Surgical Site Infection Anatomic Site This was created erroneously back in 2008, it is not a code system.  This is (or was) intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.273	Retired	NHSNOccasionOfDetection	NHSN Occasion Of Detection	http://www.cdc.gov	NHSN Occasion Of DetectionThis was created erroneously back in 2008, it is not a code system.  This is (or was) intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.274	Retired	NHSNVocabulary	NHSN HAI Vocabulary	http://www.cdc.gov	NHSN HAI Vocabulary used for Single Value bindings to Observation IdentifierThis was created erroneously back in 2008, it is not a code system.  This is (or was) intended to be a value set used at NHSN.   More information may be found at https://www.cdc.gov/nhsn/cdaportal/index.html
2.16.840.1.113883.6.275	Complete	usEPAsrs	US EPA Substance Registry System		The United States Environmental Protection Agency's (US EPA) Substance Registry System (SRS) provides information on substances and how they are represented in US environmental statutes, in US EPA information systems, and in information systems owned by other organizations.  The SRS provides standardized identification for each substance to improve data quality in US EPA systems and elsewhere.
2.16.840.1.113883.6.276	Complete	GMDN	Global Medical Device Nomenclature	http://www.gmdnagency.com	http://www.gmdnagency.com/
2.16.840.1.113883.6.277	Complete	cdcNHSN	CDC - National Healthcare Safety Network (NHSN) code system	http://www.cdc.gov/ncidod/dhqp/nhsn.html	CDC - National Healthcare Safety Network (NHSN) code system - A set of patient safety and healthcare personnel safety vocabulary concepts and associated identifiers maintained as a code system by the CDC's National Healthcare Safety Network. CDC NHSN is planning to use these code system concepts in the HAI implementation guide. These concepts would be submitted for the HL7 Ballot (Dec 2008). CDC NHSN can provide complete list of concepts, identifiers and extended attributes for this code system.
2.16.840.1.113883.6.278	Complete	epsg-crs	European Petroleum Survey Group Geodetic Parameter Dataset Coordinate Reference System	http://www.epsg.org/Geodetic.html	The set of values found in the “Code – CRS” column of the “Coordinate Reference System” table as maintained in the EPSG geodetic parameter dataset.  These define coordinate systems for geographic coordinates, including allowed axis, projection, datum and measurement units.
2.16.840.1.113883.6.279	Complete	epsg-ca	European Petroleum Survey Group Geodetic Parameter Dataset Coordinate Axis	http://www.epsg.org/Geodetic.html	The set of values found in the “Coord Axis Code” column of the “Coordinate Axis” table as maintained in the EPSG geodetic parameter dataset.  These define the axis for coordinate systems for geographic coordinates.
2.16.840.1.113883.6.28	Complete	rcFB	The Read Codes Four Byte Set:	http://www.nhsia.nhs.uk/def/home.asp	"The Read Codes Four Byte Set consists of 4 alphanumeric characters. This version contains approximately 40,000 codes arranged in a hierarchical structure. 	 Top level hierarchy sections:	DisordersFindings Surgical proceduresInvestigationsOccupationsDrugs"
2.16.840.1.113883.6.282	Complete	hgvs		http://www.hgvs.org/	HGVS nomenclatures are the guidelines for mutation nomenclature made by the Human Genome Variation Society. HGVS nomenclature can be used with the HL7 coded data type (code data type that accepts expression data, or a coded expression data type).  This coded data type should be able to distinguish expressions in HGVS nomenclature from coded concepts.  For example, in the HL7 messages specified according to the HL7 V2 Clinical Genomics Fully LOINC-Qualified Genetic Variation Model, HGVS nomenclature can be used to as the observation values for DNA sequence variations.  For example, OBX|1|CWE|48004-6^DNA Sequence Variation^LN||c.1129C>T^^HGVS|Versioning information:The HGVS nomenclature for the description of sequence variants was last modified Feb 20, 2008.The HGVS nomenclature for the description of protein sequence variants was last modified May 12, 2007.  The HGVS nomenclature for the description of DNA sequence variants was last modified June 15, 2007The HGVS nomenclature for the description of RNA sequence variants was last modified May 12, 2007HGVS nomenclatures can be used freely by the public.
2.16.840.1.113883.6.285	Complete	hcpcs-Level-II	HCPCS Level II Alphanumeric Codes	https://www.cms.gov/Medicare/Coding/MedHCPCSGenInfo/index.html	Level II of the HCPCS is a standardized coding system that is used primarily to identify products, supplies, and services not included in the CPT codes, such as ambulance services and durable medical equipment, prosthetics, orthotics, and supplies (DMEPOS) when used outside a physician's office. Because Medicare and other insurers cover a variety of services, supplies, and equipment that are not identified by CPT codes, the level II HCPCS codes were established for submitting claims for these items. The development and use of level II of the HCPCS began in the 1980's. Level II codes are also referred to as alpha-numeric codes because they consist of a single alphabetical letter followed by 4 numeric digits, while CPT codes are identified using 5 numeric digits.
2.16.840.1.113883.6.286	Complete	fdbHIC3	First DataBank Hierarchical Specific Therapeutic Class Code	http://www.firstdatabank.com/	HIC3HIERARCHICAL SPECIFIC THERAPEUTIC CLASS CODEThe HIC3 (Hierarchical Specific Therapeutic Class Code) is a three-character alphanumeric identifier that, depending on its context, identifies the specific therapeutic class of a First DataBank identifier for an ingredient (HIC_SEQN), a Clinical Formulation ID (GCN_SEQNO), or each ingredient in an Ingredient List (HICL_SEQNO). Note: The HIC3 is now deprecated and is superceded by the HIC3_SEQN: a dumb number and a stable identifier that represents a Hierarchical Specific Therapeutic Class Code. First DataBank also offers the First DataBank Enhanced Therapeutic Classification System as an alternative to the First DataBank's Specific Therapeutic Classification.
