prefix	name	synonyms	description	example	pattern	uri_format
neumore	Neural Motor Recovery Ontology		Neural Functional Motor Recovery Ontology	Tissue	^\w+$	http://neumore.cis.usouthal.edu/ontologies/NeuMORE-v0.1.owl#$1
npd	Nuclear Protein Database		The Nuclear Protein Database (NPD) is a searchable database of information on proteins that are localised to the nucleus of vertebrate cells.	1NP00752	^1NP\d+$	http://npd.hgu.mrc.ac.uk/user/$1
nrestdb	The Natural Rubber EST Database		The Natural Rubber EST database (NRESTdb) is an online resource which provides access to sequence, clustering, classification and annotation data of ESTs from rubber. The NRESTdb resources and facilities are aimed at providing a genomic data resource to facilitate rubber biotechnology research.	A1012	^[A-Z]\d+$	
ntdb	Thermodynamic Database for Nucleic Acids		This database is a collection of thermodynamic and structural data, experimental methods, conditions and relevant literature citations on nucleic acids. The thermodynamic data of interest can be searched by structural features, thermodynamic parameters, experimental methods and the use of citation.	BNA0002	^BNA\d+$	http://ntdb.chem.cuhk.edu.hk/data/$1.htm
nursa	Nuclear Receptor Signalling Atlas		NURSA's mission is to further the objectives of the nuclear receptor and coregulation signaling scientific community in the key areas of research and education.	5A1	^[A-Z,0-9]+$	http://www.nursa.org/molecule.cfm?molType=[?molecule_type]&molId=$1
odb	Operon database		ODB (Operon DataBase) aims to collect known operons in multiple species and to offer a system to predict operons by user definitions. All the known operons are derived from the literature and from publicly available database including operon information.	b2132	^[a-z]\d+$	http://www.genome.sk.ritsumei.ac.jp/odb/odb2.rb?org=[?species]&genome_id=[?genome_id]&genes=$1
ogd	Oomycete Genomics Database		The Oomycete Genomics Database is a publicly accessible resource that includes functional assays and expression data, combined with transcript and genomic analysis and annotation. OGD builds upon data available from the Phytophthora Genome Consortium, Syngenta Phytophthora Consortium and the Phytophthora Functional Genomics Database.	92	^\d+$	http://www.oomycete.org/ogd/sequence.html?sequence_id=$1
oglycbase	O-GLYCBASE		O-GLYCBASE is a database of O- and C-glycosylated proteins. It contains experimentally verified O- or C-glycosylation sites.	002	^\d+$	
okcam	Ontology-based Knowledgebase for Cell Adhesion Molecules		OKCAM (Ontology-based Knowledgebase for Cell Adhesion Molecules) is an online resource for human genes known or predicted to be related to the processes of cell adhesion. These genes include members of the cadherin, immunoglobulin/FibronectinIII (IgFn), integrin, neurexin, neuroligin, and catenin families.	23105	^\d+$	http://okcam.cbi.pku.edu.cn/entry-info.php?id=$1
oma	Identification of Orthologs from Complete Genome Data		OMA offers a comprehensive search and numerous display options for 3.7 million proteins from 830 species. The main features are the orthologous relationships which can be accessed either group-wise, where all group members are orthologous to all other group members, or on a sequence-centric basis, where for a given protein all its orthologs in all other species are displayed.	ARATH2772	^[A-Z]+\d+$	http://www.omabrowser.org/cgi-bin/gateway.pl?f=DisplayEntry&p1=$1
ootfd	object-oriented Transcription Factors Database		ooTFD (object-oriented Transcription Factors Database) is a successor to TFD, the original Transcription Factors Database . ooTFD has been tested in a number of object-oriented database management systems, including ROL (Rule-based Object Language), and MOOD (Materials object-oriented database), and it is currently maintained using the pure java object database ozone .	S05335	^S\d+$	
operondb	OperonDB: predicting operons in microbial genomes		OperonDB is a database containing the results of a computational algorithm for locating operon structures in microbial genomes. OperonDB has grown from 34 genomes in its initial release to more than 500 genomes today.	311402	^\d+$	http://operondb.cbcb.umd.edu/cgi-bin/operondb/pairs.cgi?taxon_id=$1
oreganno	Open Regulatory Annotation		The Open REGulatory ANNOtation database (ORegAnno) is an open database for the curation of known regulatory elements from scientific literature. Annotation is collected from users worldwide for various biological assays and is automatically cross-referenced against PubMED, Entrez Gene, EnsEMBL, dbSNP, the eVOC: Cell type ontology, and the Taxonomy database	OREG0005272	^OREG\d+$	http://www.oreganno.org/oregano/recordview.action?recid=$1
orfdb	ORFDB		A collection of ORF clones available through Invitrogen.	IOH36839	^[A-Z]+\d+$	http://orf.invitrogen.com/cgi-bin/ORFCard?&ORF=$1&set=UltimateORFs&hboxPath=keyword
organelle_db	Organelle DB		Organelle DB compiles protein localization data from organisms spanning the eukaryotic kingdom and presents an organized catalog of the known protein constituents of more than 50 organelles, subcellular structures, and protein complexes.	1098025	^\d+$	http://organelledb.lsi.umich.edu/gene.php?id=$1
oridb	The DNA Replication Origin Database		This database summarizes our knowledge of replication origins in the budding yeast Saccharomyces cerevisiae. Each proposed origin site has been assigned a Status (Confirmed, Likely, or Dubious) expressing the confidence that the site genuinely corresponds to an origin.	16	^\d+$	http://www.oridb.org/details1.php?id=$1
orthomcl	OrthoMCL: Ortholog Groups of Protein Sequences		OrthoMCL is a genome-scale algorithm for grouping orthologous protein sequences. It provides not only groups shared by two or more species/genomes, but also groups representing species-specific gene expansion families. So it serves as an important utility for automated eukaryotic genome annotation.	OG4_11257	^OG4_\d+$	http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=$1
pali	PALI: Phylogeny and ALIgnment of homologous protein structures		This database provides structure based sequence alignments for homologous proteins of known 3-D structure. The alignments available include those of pairwise (two proteins at a time) and multiple (simultaneous superposition of all the structures in a family).	a.100.1.3	^[A-Z.0-9]+$	http://pauling.mbu.iisc.ernet.in/~pali/cgi/members.cgi?famno=$1
partigenedb	PartiGeneDB: A database of partial genomes		The PartiGene system provides an industry standard for these types of databases and has since been adopted by UK's Natural Environmental Research Council. This system has now been expanded into a fully automatable pipeline such that for the first time, a comprehensive database of ~250 sets of eukaryotic genes has been created.	TFC0000035	^TFC\d+$	http://www.compsysbio.org/partigene/cluster.php?cluster=$1
patric	PATRIC: PathoSystems Resource Integration Center		PATRIC, the PathoSystems Resource Integration Center, is a multi-faceted bioinformatic website containing genomic and associated information on the eight important human pathogens	724	^\d+$	http://patricbrc.vbi.vt.edu/portal/portal/patric/Taxon?cType=taxon&cId=$1
pede	Pig Expression Data Explorer		PEDE (Pig Expression Data Explorer) is a database of porcine EST collections derived from full-length cDNA libraries and full-length sequences of the cDNA clones picked from the EST collection.	20060611C-000177	^[A-Z,0-9]+$	http://pede.dna.affrc.go.jp/seq_search/assembly_info.php?release=$1&name=$1
pepr	Public Expression Profiling Resource		PEPR is an experiment in web-database access to large multi-dimensional data sets using a standardized experimental platform. The primary goal of PEPR is to determine if the larger scientific community can be given simple, intuitive, and user-friendly web-based access to large microarray data sets.	3702	^\d+$	http://pepr.cnmcresearch.org/browse.do?action=list_[?exp/?prj_exp]&[?exp/?project]Id=$1
pgc	Plant Genome Central		The list of plant sequencing projects in this page includes those that have reached the stage where active sequence determination is currently producing, or is expected to produce in the near future, GenBank accessions toward the goal of determining the sequence of that plant genome.	4522	^\d+$	
pgdb	Human Prostate Gene DataBase		PGDB is a curated and integrated database of human genes related to the prostate and prostatic diseases. Currently, PGDB covers genes that have been reported in the scientific literature to be involved in a number of molecular and genetic events occurred in the prostate such as gene mutation, gross deletion, methylation, polymorphism, over-expression and linkage (linkage disequilibrium).	14	^\d+$	http://www.urogene.org/pgdb/gene/$1.html
pgn	Plant Genome Network		PGN is a repository for plant EST sequence data located at Cornell. It comprises an analysis pipeline and a website, and presently contains mainly data from the Floral Genome Project.	280859	^\d+$	http://pgn.cornell.edu/search/unigene_search_result.pl?unigene_id=$1
pharmgkb	Pharmacogenomics Knowledge Base		PharmGKB curates primary genotype and phenotype data, annotates gene variants and gene-drug-disease relationships via literature review, and summarizes important PGx genes and drug pathways.	PA445062	^PA\d+$	http://www.pharmgkb.org/do/serve?objId=$1
photolist	Photorhabdus luminescens genome database		PhotoList, contains a database dedicated to the analysis of the genome of Photorhabdus luminescens. This analysis has been described in: The genome sequence of the entomopathogenic bacterium Photorhabdus luminescens	plu3909	^plu\d+$	
phytome	Phytome: A Plant Comparative Genomics Resource		Phytome is an online comparative genomics resource that is built upon publicly available sequence and map information from a diverse set of plant species, with a focus on the angiosperms, or flowering plants. Phytome is designed to facilitate functional genomics, molecular breeding and evolutionary studies in model and non-model plant species.	atha87460	^[a-z]+\d+$	
pint	Protein-protein Interactions Thermodynamic Database		PINT contains experimental data of several thermodynamic parameters along with literature, sequence and structural information and experimental conditions. Each entry contains the name and source of the proteins involved in binding, their PIR, SWISS-PROT and PDB codes, secondary structure and solvent accessibility of mutant positions and experimental conditions.	PINT_CALM_MLCK	^[A-Z]+$	
pips	Human Protein-Protein Interaction Prediction		PIPs is a database of predicted human protein-protein interactions. The predictions have been made using a naïve Bayesian classifier to calculate a Score of interaction. There are 37606 interactions with a Score ≥1 indicating that the interaction is more likely to occur than not to occur.	5006	^\d+$	http://www.compbio.dundee.ac.uk/www-pips/Identifier.jsp?ID=$1&Interactions=Prot&LR=1.0&modules=on
pirnabank	piRNA Database		piRNABank is a web analysis system and resource, which provides comprehensive information on piRNAs in the widely studied mammals namely Human, Mouse, Rat, Zebrafish, Platypus and a fruit fly, Drosophila. It compiles all the possible clusters of piRNAs and also depicts piRNAs along with the associated genomic elements like genes and repeats on a genome wide map.	mmu_piR_030801	^[a-z]+_piR_\d+$	
place	A Database of Plant Cis-acting Regulatory DNA Elements		PLACE is a database of motifs found in plant cis-acting regulatory DNA elements, all from previously published reports. It covers vascular plants only	S000406	^S\d+$	
plantcyc	Plant Metabolic Network		The Plant Metabolic Network (PMN) is a collaborative project among databases and biochemists with a common goal to build a broad network of plant metabolic pathway databases.	JGI-262851	^JGI-\d+$	http://pmn.plantcyc.org/PLANT/NEW-IMAGE?type=GENE&object=$1
plantsp_plantst	PlantsP/PlantsT	plantspst	PlantsT is part of the Plant Genome Program for the National Science Foundation and is a central site for the study of the uptake and translocation of mineral nutrients in plants. PlantsP is a central site for the study of phosphorylation and dephosphorylation sites.	44367	^\d+$	http://plantst.genomics.purdue.edu/cgi-bin/detail.cgi?db=plants[?t/?p]&id=$1
planttribes	PlantTribes		PlantTribes is an objective classification system for plan proteins based on cluster analyses of the inferred proteomes of the sequenced angiospermsArabidopsis thaliana v Columbia, Oryza sativa v. japonica (Rice), and Populus trichocarpa (poplar).	110807	^\d+$	http://fgp.huck.psu.edu/tribedb/gene.pl?action=view_gene&gene_id=$1
plpmdb	PLPMDB		PLPMDB is a database for Pyridoxal-5'-phosphate dependent enzymes mutation information. All data have been extracted from publications and publicly available databases and organized to enable database searching.	41	^\d+$	http://www.studiofmp.com/plpmdb/mutant.asp?Id=$1
plprot	PLprot: A Plastid Protein Database		Integrates data from large scale proteome analyses of different plastid types.These include etioplasts, chloroplasts, chromoplasts and the undifferentiated proplastid-like organelles of tobacco BY2 cells. This comparison allows establishing a core proteome that is common to all plastid types and provides furthermore information about plastid type-specific functions.	plp_at_00098	^plp_[a-z]+_\d+$	http://www.plprot.ethz.ch/index.php?page=ProteinDetails&plp_id=$1&organism=[?species_name]
pmd	Protein Mutant Database		The PMD is based on the literature, not on proteins. That is, each entry in the database corresponds to one article, which contains several or a number of protein mutants. Each database entry is identified by a serial number and is defined as either natur al or artificial, depending on the type of the mutation.	A000170	^[A-Z]\d+$	http://spock.genes.nig.ac.jp/~pmd/cgi-bin/PMD/PMDentry.pl.cgi?$1
pmrna	PMRNA		Identifier associated with affymetrix probesets.	pmrna9933	^pmrna\d+$	
pod	Plant Organelles Database		The Plant Organelles Database Version 2 (PODB2) is a specialized database project to promote a comprehensive understanding of organelle dynamics, including organelle function, biogenesis, differentiation, movement, and interactions with other organelles.	20060606182637	^\d+$	http://podb.nibb.ac.jp/Organellome/bin/browseImage.php?ID=Image-toshi_biochem.tohoku.ac.jp-$1
polydoms	PolyDoms: Mapping of Human Coding SNPs onto Protein Domains		An integrated database of human coding single nucleotide polymorphisms (SNPs) and their annotations.	NP_955472	^[A-Z]+_\d+$	http://polydoms.cchmc.org/polydoms/GD?DISP_OPTION=[?NonSynonymous/Synonymous]&field1=$1
polymorphix	Polymorphix		This blast oriented interface allows you to retrieve families of polymorphic sequences. It is of special interest for molecular evolutionnary biologists and population geneticists	HSN000159	^[A-Z]+\d+$	http://pbil.univ-lyon1.fr/cgi-bin/acnuc-dispfam?query=$1&db=Polymorphix
pomamo	Potato Maps and More		GABI, acronym for Genomanalyse im biologischen System Pflanze, is the name of a large collaborative network of different plant genomic research projects.	1956	^\d+$	
precise	PRedicted and Concensus Interaction Sites in Enzymes		PRECISE (Predicted and Consensus Interaction Sites in Enzymes) is a database of interactions between the amino acid residues of an enzyme and its various ligands, i.e., substrate and transition state analogues, cofactors, inhibitors, and products.	5	^\d+$	http://precise.bu.edu/Output.aspx?UniqueID=$1
premod	Predicted Regulatory Modules		The PReMod database describes more than 100,000 computational predicted transcriptional regulatory modules within the human genome1. These modules represent the regulatory potential for 229 transcription factors families and are the first genome-wide/transcription factor-wide collection of predicted regulatory modules for the human genome2.	mod103457	^mod\d+$	http://genomequebec.mcgill.ca/PReMod/show/module.do?method=showModule&moduleId=$1
priam	PRIAM: PRofils pour l'Identification Automatique du Métabolisme		ENZYME-SPECIFIC PROFILES for metabolic pathway prediction. PRIAM is a method for automated enzyme detection in a fully sequenced genome, based on all sequences available in the ENZYME database.	PRI002274	^PRI\d+$	http://prodomweb.univ-lyon1.fr/priam/cgi-bin/ReqPRIAM_png.pl?priam_release=OCT11&priam_ac=$1
probebase	probeBase		probeBase is a comprehensive database containing published rRNA-targeted oligonucleotide probe sequences, DNA microarray layouts and associated information.	pB-00049	^pB-\d+$	
promex	Protein Mass spectra EXtraction		Promex is a mass spectral reference database. The database consists of tryptic peptide fragmentation mass spectra derived from Arabidopsis thaliana, Chlamydomonas reinhardii, Medicago truncatula and Solanum tuberosum.	16356	^\d+$	http://promex.pph.univie.ac.at/promex/?spec=$1
pronit	ProNIT		A database of thermodynamic data for protein-nucleic acids interactions	7320	^\d+$	http://gibk26.bse.kyutech.ac.jp/cgi-bin/jouhou/pronit/new/bind_entry.pl?ENTRY=$1
proteus	Protein Terminus		ProTeus (PROtein TErminUS) is a tool for identification of short linear signatures in protein termini. It is based on a positional-based search method for revealing short significant signatures in termini of proteins.	221800	^\d+$	
protherm	ProTherm		ProTherm is a collection of numerical data of thermodynamic parameters such as Gibbs free energy change, enthalpy change, heat capacity change, transition temperature etc. for wild type and mutant proteins, that are important for understanding the structure and stability of proteins.	3115	^\d+$	http://gibk26.bse.kyutech.ac.jp/cgi-bin/jouhou/protherm/pp_entry.pl?ENTRY=$1
pseudobase	PseudoBase		PseudoBase is a collection of RNA pseudoknots that we make available for retrieval to the scientific community.	PKB00322	^PKB\d+$	http://www.ekevanbatenburg.nl/PKBASE/$1.HTML
ptmswitchboard	PTM-Switchboard	ptm	PTM-Switchboard is designed to catalog known cases of TF-PTMs affecting gene transcriptions.. PTM-Switchboard differs from existing molecular pathway databases in that, instead of using pairwise interactions as a primary data type, it stores triplets of genes such that the ability of one gene (the TF) to regulate a target gene is dependent on a third gene (the modifying enzyme).	128	^\d+$	http://cagr.pcbi.upenn.edu/PTMswitchboard/jsp/detail.jsp?ID=$1
pubmeth	Reviewed Methylation Database in Cancer		Pubmeth is an annotated and reviewed database of methylation in cancer. It is based on automated textmining of literature and is afterwards manually curated and annotated.	MGMT	^[A-Z,0-9]+$	http://matrix.ugent.be/temp/static/$1.html
qppd	Quantitative PCR Primer Database		The Quantitative PCR Primer Database (QPPD) provides information about primers and probes that can be used to quantitate human and mouse mRNA by reverse transcription polymerase chain reaction (RT–PCR) assays. All data has been gathered from published articles, cited in PubMed.	NM_001982.2	^NM_\d+$	http://lpgws.nci.nih.gov/cgi-bin/PrimerViewer?acc=$1
rad	Rice Annotation Database		RAD is a contig-oriented database for high-quality manual annotation of RGP, which can present non-redundant contig analyses by merging the accumulated PAC/BAC clones.	P0489E06	^[A-Z,0-9]+$	http://rad.dna.affrc.go.jp/SY-1102-cgi-bin/rad/PCA/ctl_frame.cgi?clone=$1
rapid	Resource of Primary Immunodeficiency Diseases		Resource of Asian Primary Immunodeficiency Diseases (RAPID) is a web-based compendium of molecular alterations in primary immunodeficiency diseases. Detailed information about genes and proteins that are affected in primary deficiency diseases is presented along with other pertinent information about protein-protein interactions, microarray gene expression profiles in various organs and cells of the immune system and mouse studies.	AGID_26	^AGID_\d+$	http://rapid.rcai.riken.jp/RAPID/diseasePhenotype?pid_id=$1
rarge	RIKEN Arabidopsis Genome Encyclopedia		To enhance the utility of the RIKEN Arabidopsis resource (full-length cDNAs, transposon mutants and microarray experiments); the RARGE Database was constructed.	52-0228-1	^\d+$	http://rarge.psc.riken.jp/dsmutant/detail.pl?keyword=$1
rcd	Read Codes, Clinical Terms Version 3 (CTV3)		Clinical Terms Version 3 (CTV3) (Read Codes) (Q199): National Health Service National Coding and Classification Centre	X79tP	^\w+$	http://purl.bioontology.org/ontology/RCD/$1
recode	RECODE		Recode2 is a database of genes that utilize non-standard translation for gene expression purposes. Recoding events described in the database include programmed ribosomal frameshifting, translational bypassing (aka hopping) and mRNA specific codon redefinition.	r200377	^r\d+$	http://recode.ucc.ie/recode/$1/
regtransbase	RegTransBase		RegTransBase consists of two modules - a database of regulatory interactions based on literature and an expertly curated database of transcription factor binding sites.	9368629	^\d+$	http://regtransbase.lbl.gov/cgi-bin/regtransbase?page=geneinfo&amp;seqfeature_id=$1
regulondb	RegulonDB		RegulonDB is a model of the complex regulation of transcription initiation or regulatory network of the cell. On the other hand, it is also a model of the organization of the genes in transcription units, operons and simple and complex regulons. In this regard, RegulonDB is a computational model of mechanisms of transcriptional regulation.	ECK120000269	^ECK\d+$	http://regulondb.ccg.unam.mx/GeneController?key_id_org=ECK12&gene_id=$1&type=jsp
replicationdomain	ReplicationDomain		ReplicationDomain is an online database resource for storing, sharing and visualizing DNA replication timing and transcription data, as well as other numerical epigenetic data types.	349	^\d+$	http://www.replicationdomain.com/view-dataset.php?RecordID=$1
repo	Reproductive trait and phenotype ontology	rtpo	Ontology for livestock reproductive traits and phenotypes	AbnormalParturition	^\w+$	http://purl.bioontology.org/ontology/REPO.owl#$1
rissc	Ribosomal Internal Spacer Sequence Collection		This is a database of ribosomal 16S-23S spacer sequences intended mainly for molecular biology studies in typing, phylogeny and population genetics.	U07777	^[A-Z]\d+$	http://egg.umh.es/rissc/fich.php?accession=$1
rmd	Ribosomal Mutation Database	16SMDB	The database consists of 16S rRNA from Escherichia coli, 16S-like rRNA from other organisms, 23S rRNA from E. coli, and 23S-like from other organisms.	65	^\d+$	http://ribosome.fandm.edu/node/$1
rnrdb	Ribonucleotide Reductase Database		The ribonucleotide reductase database (RNRdb) is a tool developed for RNR research that gives you the opportunity to retrieve RNR protein sequences from any organism that have been either experimentally characterised or predicted from genome sequence data.	59843	^\d+$	http://rnrdb.molbio.su.se/proteins_for_organism.html?organism_nr=$1
rpg	Ribosomal Protein Gene database		A database that provides detailed information about ribosomal protein (RP) genes. It contains data from humans and other organisms, including Drosophila melanogaster, Caenorhabditis elegans, Saccharo myces cerevisiae, Methanococcus jannaschii and Escherichia coli.	FUG10002	^[A-Z]+\d+$	http://ribosome.miyazaki-med.ac.jp/rpg.cgi?mode=gene&id=$1
rtprimerdb	RTPrimerDB		RTPrimerDB is a public database for primer and probe sequences used in real-time PCR assays employing popular chemistries (SYBR Green I, Taqman, Hybridisation Probes, Molecular Beacon) to prevent time-consuming primer design and experimental optimisation, and to introduce a certain level of uniformity and standardisation among different laboratories.	4328	^\d+$	http://medgen.ugent.be/rtprimerdb/assay_report.php?assay_id=$1
sac	SKY/M-FISH and CGH		The goal of the SKY/M-FISH and CGH database is to provide a public  platform for investigators to share and compare their molecular  cytogenetic data.	5608	^\d+$	
sagalist	Streptococcus agalactiae NEM316 / Serotype III genome database		SagaList contains a database dedicated to the analysis of the genomes of the food-borne pathogen, Streptococcus agalactiae.	gbs1449	^gbs\d+$	
salad	Surveyed conserved motif ALignment diagram and teh Associating Dendrogram database		SALAD is a tool of systematic comparison of proteome data among the species. The database is termed SALAD (Surveyed conserved motif ALignment diagram and the Associating Dendrogram) database.	AT1G12340	^[A-Z,0-9]+$	http://salad.dna.affrc.go.jp/CGViewer/en/v3.0/cgv_clust_view.jsp?pfamid=$1
sbase	Support Vector Machines Domain Prediction System		SBASE is a collection of protein domain sequences collected from the literature, from protein sequence databases and from genomic databases	2017	^\d+$	http://hydra.icgeb.trieste.it/sbase/sbase.php?sec=search&sub=group&group_id=$1
sbro	Smoking Behavior Risk Ontology		An ontology representing a causal model of smoking behavior risk, including genetic and environmental components.  It also includes concepts for describing smoking-related phenotypes.	elimination_of_nicotine	^\w$	
scadb	SCAdb: A Candidate Gene Database for Spinocerebellar ataxias		The SCA database is a human spinocerebellar ataxia disease database designed to provide clinicians and researcher who study this disease the information of all possible short tandem repeats-containing genes within the disease-mapped chromosome regions, their genetic-links, priority selection tool, primer design tools and some of the experimental test results of these genes.	16194389_1	^\d+$	http://ymbc.ym.edu.tw/cgi-bin/SCAdb_ensembl/aroundSTR.cgi?sca_type=SCA1&type=CAG&repeats_id=$1
schistodb	SchistoDB; The Schistosoma Genome Resource		The Schistosoma Genome Resource	SMP_043670.2	^[A-Z,_,0-9]+$	http://schistocyc.schistodb.net/ptools/SM/NEW-IMAGE?type=GENE&object=$1
scmd	Saccharomyces cerevisiae Morphological Database		The Saccharomyces Cerevisiae Morphological Database(SCMD) is a collection of micrographs of budding yeast mutants.	YER095w	^[A-Z,0-9]+$	http://yeast.gi.k.u-tokyo.ac.jp/datamine/ViewStats.do?orf=$1
seedgenes	SeedGenes		This project deals with genes that give a seed phenotype when disrupted by mutation. The long-term goal is to establish a comprehensive dataset of essential genes.	TTN5	^[A-Z,0-9]+$	http://www.seedgenes.org/SeedGeneProfile?geneSymbol=$1
selectome	Selectome: a Database of Positive Selection		Selectome is a database of positive selection based on a rigorous branch-site specific likelihood test. Positive selection is detected using CODEML on all branches of animal gene trees.	TF101024	^[A-Z]+\d+$	
selenodb	SelenoDB		SelenoDB intends to be a comprehensive database for information on eukaryotic selenoproteins and related genes and proteins.	SPG00000024	^SPG\d+$	http://www.selenodb.org/cgi-perl/feature_report.pl?feature=$1_1.0
shr	Student Health Record		The goal of SHR project is to develop an ontology for the description of student health records. Student health records are created for entering college students in order to provide better health services will be formed. This file contains various sections such as history of disease, family history of disease, public examinations and ... .	Family_Health_History	^\w$	http://www.shojaee.com/shr/shr.owl#$1
siege	Smoking Induced Epithelial Gene Expression Database		Smoking Induced Epithelial Gene Expression Database	221577_x_at	^[A-Z,0-9]+$	http://pulm.bumc.bu.edu/cgi-bin/siegeDB/siege_html/compsearchgraph.cgi?$1
silva	SILVA: a comprehensive online resource for quality checked and aligned ribosomal RNA sequence data		SILVA provides comprehensive, quality checked and regularly updated datasets of aligned small (16S/18S, SSU) and large subunit (23S/28S, LSU) ribosomal RNA (rRNA) sequences for all three domains of life (Bacteria, Archaea and Eukarya).	AACY021460914	^[A-Z,0-9]+$	http://www.arb-silva.de/browser/ssu/$1/embl/?tx_pmtree_pi1[pid]=$1
sirnadb	siRNAdb		A database of known siRNA molecules	NM_005938	^NM_\d+$	
sisyphus	SISYPHUS		The SISYPHUS database contains a collection of manually curated structural alignments and their interrelationships. Each multiple alignment within the SISYPHUS database consists of structurally similar regions common to a group of proteins.	AL00048599	^AL\d+$	http://sisyphus.mrc-cpe.cam.ac.uk/sisyphus/alignment.jsp?ac=$1
sitbac	Situation-Based Access Control		Context-based healthcare access-control policies	EHR	^\w$	
snpeffect	SNPeffect		The SNPeffect and PupaSuite databases are now synchronized to deliver annotations for both non-coding and coding SNP, as well as annotations for the SwissProt set of human disease mutations.	23075009	^\d+$	http://snpeffect.vib.be/snp_main.php?id=$1
spodobase	SpodoBase		An integrated database for the genomics of the Lepidoptera Spodoptera frugiperda	Sf1F00061-3-1	^Sf1F\d+$	http://bioweb.ensam.inra.fr/Spodopterav3/sequence?name=$1&class=Sequence
spto	Solanaceae Phenotype Ontology		Solanaceae crop phenotypes and traits, developed in collaboration with the research community, especially for breeder traits of agronomic importance.	SP_0000115	^SP_\d{7}$	
sso	Syndromic Surveillance Ontology		The SSO encodes agreement among experts about how Emergency Department (ED) chief complaints are grouped into syndromes of public health importance (consensus definitions).	Abdominal_pain	^\w$	
straininfonet	StrainInfo.net Bioportal		You can use StrainInfo to search through the catalogs of over 60 BRCs	182672	^\d+$	http://www.straininfo.net/taxa/$1
strepto_db	Strepto-DB		Strepto-DB is a database for comparative genomics of group A and group B streptococci. It is based on OGeR (Open Genome Resource for comparative analysis of prokaryotic genomes) and includes all sequenced GAS and GBS strains and serovars available as EMBL genome review or NCBI GenBank files.	9939	^\d+$	http://oger.tu-bs.de/websites/query_result.php?index=1&dbno=$1
suba	SUB-cellular location database for Arabidopsis proteins		SUBA provides a powerful tool to investigate subcellular localisation in Arabidopsis through the unification of disparate datasets and through the provision of a web accessible interface for the construction of powerful user based queries resulting in a one-stop-shop for protein localisation in this model plant.	AT1G05560.1	^[A-Z,0-9]+$	http://suba.plantenergy.uwa.edu.au/flatfile.php?id=$1
sulfolobus	Sulfolobus		This database contains the three sequenced Sulfolobus genomes.	10189	^\d+$	http://www.sulfolobus.org/cbin/mutagen.pl?page=misc&gidinfo=$1
superhapten	SuperHapten		This database contains currently 7257 haptens, 453 commercially available related antibodies and 24 carriers	2399	^\d+$	http://bioinformatics.charite.de/superhapten/fullinfo_hapten_chime.php?id=$1
supernatural	SuperNatural		This database contains 45.917 compounds with 2.665.881 conformers available for purchase	000068268	^\d+$	http://bioinformatics.charite.de/supernatural/marvin/fullinfo_roempp_marvin.php?cas=$1
supertoxic	SuperToxic		A collection of toxic compounds from literature and web sources. The current version of this database compiles approx. 60,000 compounds with about 100,000 synonyms. These molecules are classified according to their toxicity based on more than 2,500,000 measurements.	10276	^\d+$	http://bioinformatics.charite.de/supertoxic/index.php?site=detail_view&ids=($1)
syfpeithi	Database of MHC Ligands and Peptide Motifs		SYFPEITHI is a database comprising more than 7000 peptide sequences known to bind class I and class II MHC molecules.	BC102564	^[A-Z]+\d+$	http://www.ebi.ac.uk/cgi-bin/emblfetch?$1
systers	SYSTERS Protein Family Database		A collection of graph-based algorithms to hierarchically partition a large set of protein sequences into homologous families and superfamilies.	1568	^\d+$	http://systers.molgen.mpg.de/cgi-bin/nph-fetchcluster.pl?CLNR=$1
t1dbase	Type 1 Diabetes Database		T1DBase focuses on two research areas in type 1 diabetes (T1D): the genetics of T1D susceptibility and beta cell biology.	7098	^\d+$	http://t1dbase.org/page/Overview/display/gene_id/$1
targetdb	TargetDB		TargetDB, a target registration database, provides information on the experimental progress and status of targets selected for structure determination.	BSGCAIR30339	^BSGCAIR\d+$	
tassdb	TAndem Splice Site DataBase		TassDB stores extensive data about alternative splice events at GYNGYN donors and NAGNAG acceptors. Currently, 114,554 tandem splice sites of eight species are contained in the database, 5,209 of which have EST/mRNA evidence for alternative splicing.	AVPI1	^[A-Z.0-9]+$	
tbdb	Tuberculosis Database		TBDatabase (TBDB) makes available the tools and resources available at the Stanford Microarray Database and the Broad Institute.	S7000000635247860	^[A-Z]\d+$	http://genome.tbdb.org/annotation/genome/tbdb/GeneDetails.html?sp=$1
tbestdb	Taxonomically Broad EST Database		The taxonomically broad EST database TBestDB serves as a repository for EST data from a wide range of eukaryotes, many of which have previously not been thoroughly investigated.	COL00000190	^[A-Z]+\d+$	http://tbestdb.bcm.umontreal.ca/searches/contig.php?conDeID=$1
tc7ap	The Chromosome 7 Annotation Project		The objective of this project is to generate the most comprehensive description of human chromosome 7 to facilitate biological discovery, disease gene research and medical genetic applications.	GA0008	^GA\d+$	http://www.chr7.org/cgi-bin/geneview?id=$1
tcruzidb	TcruziDB; An Integrated Trypanosoma cruzi Genome Resource		TcruziDB provides access to the published genome sequence data from strain (CL Brener), generated by TIGR, Karolinska & SBRI, functional genomics data and annotation generated by the Trypanosoma cruzi research community.	Tc00.1047053508461.30	^[a-z]+\d+$	http://tcruzidb.org/tcruzidb/showRecord.do?name=GeneRecordClasses.GeneRecordClass&project_id=&primary_key=$1
