Preferred Prefix	Alt-prefix	Provider Base URI	Alternative Base URI	MIRIAM	BiodbcoreID	BioPortal Ontology ID	identifiers.org	Abbreviation	Title	Description	PubMed ID	Organization	Type (warehouse, dataset or terminology)	Keywords	Homepage	Functional?	sub-namespace in dataset	part of collection	License URL	License Text	Rights	ID regex	ExampleID	Provider HTML URL		MIRIAM checked	MIRIAM curator notes	MIRIAM coverage	updates	year last accessible	wayback url	last updated	last updated by	last updated by (orcid)
ised								ISED	Influenza Sequence and Epitope Database	ISED catalogues the influenza sequence and epitope information obtained in countries worldwide and currently hosts a total of 49368 influenza A and 4761 influenza B virus sequence data including pandemic A/H1N1 2009 virus sequences collected in 42 countries, and a total of 545 amantadine-resistant influenza virus sequences collected in Korea.				protein	http://influenza.korea.ac.kr							[A-Z]+\d+	AY209920	N/A			 (http 500)	omitted						
isfinder				MIR:00000173				Isfinder	IS Finder	ISfinder is a database of bacterial insertion sequences (IS). It assigns IS nomenclature and acts as a repository for ISs. Each IS is annotated with information such as the open reading frame DNA sequence, the sequence of the ends of the element and target sites, its origin and distribution together with a bibliography, where available.	16381877	CNRS		gene,sequence	http://www-is.biotoul.fr							^IS\w+(\-\d)?$	ISA1083-2	http://www-is.biotoul.fr/index.html?is_special_name=$id		x								
isgd									Interferon Stimulated Gene Database Arranged into Functional Categories	The database can be queried by choosing a functional category in the pop-up menu below or by entering specific or general keywords for a gene or genes of interest in the "search strings" text box. 		Lerner Research Institute		gene	http://www.lerner.ccf.org/labs/williams/xchip-html.cgi									N/A			 (not found)	omitted						
islander								Islander	Islander: Database of Genomic Islands	Islander is a comprehensive online database containing genomic islands discovered in completely sequenced bacterial genomes. Islands are transmitted between prokaryotic strains and therefore play a major role in genome evolution.		Virginia Bioinformatics Institute 		genome	http://kementari.bioinformatics.vt.edu/cgi-bin/islander.cgi									http://kementari.bioinformatics.vt.edu/cgi-bin/island.cgi?island=$id				omitted						
issn				MIR:00000301				ISSN	International Standard Serial Number	The process of continuing resource registration for the ISSN Network includes the assignment of ISSN and key title and the preparation of the accompanying ISSN bibliographic record. Because of its bibliographic data this ISSN record represents the authority record for continuing resource titles.		ISSN			http://www.issn.org/									N/A		x								
itd								IARC TP53 Database	IARC TP53 Database	The IARC TP53 Mutation Database compiles all TP53 gene variations identified in human populations and tumor samples. Data are compiled from the peer-reviewed literature and from generalist databases. 		World Health Organization		gene	http://www-p53.iarc.fr/									N/A			only linkable data directs to dbSNP (MIR:00000161)	omitted / preexisting MIR:00000161						
itfp								ITFP	Integrated Transcription Factor Platform																		no resolving url	omitted						
its2								ITS2	Internal Transcribed Spacer 2 Database	Optimal global pairwise alignments from about 270,000 ribosomal RNA (rRNA) internal transcribed spacer 2 (ITS2) sequences - all against all - have been generated in order to model ITS2 secondary structures based on sequences with known structures.		ITS2		RNA, structure	http://its2.bioapps.biozentrum.uni-wuerzburg.de/cgi-bin/index.pl?about							^\d+$	133245	http://its2.bioapps.biozentrum.uni-wuerzburg.de/cgi-bin/its2.pl?Taxon_id=$id&method=All			tool	omitted						
ittaca								ITTACA	Integrated Tumor Tranciptome Array and Clinical data Analysis database	ITTACA is a database created for Integrated Tumor Transcriptome Array and Clinical data Analysis. ITTACA centralizes public datasets containing both gene expression and clinical data and currently focuses on the types of cancer that are of particular interest to the Institut Curie: breast carcinoma, bladder carcinoma, and uveal melanoma		Institut Curie Bioinformatics Group		gene expression	http://bioinfo.curie.fr/ittaca									N/A			links to data are dead (http://www.cancertoday.com/data.html)	omitted						
iupac	iupac							IUPAC	IUPAC chemical name																									
iuphar								IUPHAR	International Union of Pharmacology	The International Union of Pharmacology is a voluntary, non-profit association representing the interests of pharmacologists around the world through promoting international cooperation, sponsoring regional activities, encouraging free exchange of scientists and ideas, and developing public awareness.		IUPHAR			http://www.iuphar.org/									N/A			portal	omitted						
iuphar.db								IUPHAR-DB	IUPHAR-DB	The IUPHAR database (IUPHAR-DB) integrates peer-reviewed pharmacological, chemical, genetic, functional and anatomical information on the 354 nonsensory G protein-coupled receptors (GPCRs), 71 ligand-gated ion channel subunits and 141 voltage-gated-like ion channel subunits encoded by the human, rat and mouse genomes. IUPHAR-DB provides a comprehensive description of the genes and their functions, with information on protein structure and interactions, ligands, expression patterns, signaling mechanisms, functional assays and biologically important receptor variants (e.g. single-nucleotide polymorphisms and splice variants).		IUPHAR		protein, small molecule, genome, gene expression, structure	http://www.iuphar-db.org/			iuphar						N/A				preexisting as MIR:00000317 and 281						
iuphar.family	iuphar.gpcr			MIR:00000317				IUPHAR GPCR	G protein-coupled receptors database	IUPHAR G protein-coupled receptors database		IUPHAR		protein	http://www.iuphar-db.org/DATABASE/ReceptorFamiliesForward?type=GPCR			iuphar				^\d+$	78	http://www.iuphar-db.org/DATABASE/FamilyIntroductionForward?familyId=$id		x								
iuphar.ligand								IUPHAR-Ligand	IUPHAR-Ligand																			curation						
iuphar.receptor	iuphar_rd			MIR:00000281				IUPHAR RECEPTOR	International Union of Pharmacology Receptor Database			IUPHAR			http://www.iuphar.org/			iuphar				^\d+$	2205	http://www.iuphar-db.org/GPCR/ReceptorDisplayForward?receptorID=$id		x								
ivdb								IVDB	Influenza Virus Database	IVDB hosts complete genome sequences of influenza A virus generated by BGI and curates all other published influenza virus sequences after expert annotations. IVDB provides a series of tools and viewers for analyzing the viral genomes, genes, genetic polymorphisms and phylogenetic relationships comparatively.		Beijing Genomics Institute		genome, DNA, gene	http://influenza.psych.ac.cn/							[A-Z]+\d+	E13035	http://influenza.psych.ac.cn/search/detail.jsp?segment.gb_id=$id				curation						
ivr								Influenza Virus Resource	Influenza Virus Resource	Influenza Virus Resource presents data obtained from the NIAID Influenza Genome Sequencing Project as well as from GenBank, combined with tools for flu sequence analysis, annotation and submission to GenBank. In addition, it provides links to other resources that contain flu sequences, publications and general information about flu viruses.		NCBI		genome, DNA	http://www.ncbi.nlm.nih.gov/genomes/FLU/FLU.html									N/A			portal links to genbank	omitted						
ixdb								IXDB	IXDB																		no resolving url	omitted						
ixno						1614		IxnO	IxnO	The Interaction ontology (IxnO) was developed to enable curation of chemical-gene and chemical-protein interactions for the Comparative Toxicogenomics Database (CTD). CTD is a freely available resource that aims to promote understanding and novel hypothesis development about the effects of the environment on human health.			terminology	obo	http://ctd.mdibl.org													omitted						
jail								JAIL	JAIL	Interfaces of macromolecules are a valuable basis to analyse the process of molecular recognition. JAIL classifies not only the interfaces between domain architectures but also those between protein chains and those between proteins and nucleic acids.		Structural Bioinformatics Group		small molecule, structure, protein	http://bioinformatics.charite.de/jail							PDBID	2q9v	http://bioinf-apache.charite.de/jail/index.php?site=show_interfaces&pdb_id=$id				curation						
jaspar								JASPAR	JASPAR: The high-quality transcription factor binding profile database	The JASPAR CORE database contains a curated, non-redundant set of profiles, derived from published collections of experimentally defined transcription factor binding sites for eukaryotes.		University of Copenhagen		small molecule, regulation	http://jaspar.genereg.net							MA\d+	MA1234	N/A				curation						
jcm				MIR:00000174				JCM	Japan Collection of Microorganisms	The Japan Collection of Microorganisms (JCM) collects, catalogues, and distributes cultured microbial strains, restricted to those classified in Risk Group 1 or 2.		RIKEN	dataset	microbial,taxonomy	http://www.jcm.riken.go.jp/							^\d+$	17254	http://www.jcm.riken.go.jp/cgi-bin/jcm/jcm_number?JCM=$id		x								
jcsd				MIR:00000241				JCSD	Japan Chemical Substance Dictionary	The Japan Chemical Substance Dictionary is an organic compound dictionary database prepared by the Japan Science and Technology Agency (JST).			dataset	chemical,structure								^J\d{1,3}(\.\d{3})?(\.\d{1,3})?[A-Za-z]$	J55.713G	http://nikkajiweb.jst.go.jp/nikkaji_web/pages/top_e.jsp?CONTENT=syosai&SN=$id		x								
jcvi								JCVI	J. Craig Venter Institute	The J. Craig Venter Institute was formed in October 2006 through the merger of several affiliated and legacy organizations — The Institute for Genomic Research (TIGR) and The Center for the Advancement of Genomics (TCAG), The J. Craig Venter Science Foundation, The Joint Technology Center, and the Institute for Biological Energy Alternatives (IBEA). 		JCVI			http://www.jcvi.org/									N/A			portal	omitted						
jcvi.genprop	genprop								Genome Properties database at the J. Craig Venter Institute	The Genome Properties system consists of a suite of "Properties" which are carefully defined attributes of prokaryotic organisms whose status can be described by numerical values or controlled vocabulary terms for individual completely sequenced genomes.		JCVI		classification, genome	http://cmr.jcvi.org/tigr-scripts/CMR/shared/GenomePropertiesHomePage.cgi							GenProp\d+	GenProp0151	http://cmr.jcvi.org/tigr-scripts/CMR/shared/GenomePropDefinition.cgi?prop_acc=$id				curation						
jpo.protein	jpo, jpo_prt								Japan Patent Office - Protein Sequences	Protein sequences extracted from patent applications to the Japanese Patent Office (JPO)		JPO	dataset	protein	http://srs.ebi.ac.uk/srsbin/cgi-bin/wgetz?-page+LibInfo+-id+1JCFK1gtG2g+-lib+JPO_PRT												no resolving url	omitted						
jws				MIR:00000130				JWS Online	JWS Online Model Repository	JWS Online is a repository of curated biochemical pathway models, and additionally provides the ability to run simulations of these models in a web browser.	15072998	Manchester Interdisciplinary Biocenter		model, pathway	http://jjj.mib.ac.uk/index.html							^\w+$	curien	http://jjj.mib.ac.uk/cgi-bin/processModelSelection.py?keytype=modelname&keyword=$id		x								
k2p						1406		k2p	linkingkin2pep	An ontology to try out the mapping capabilities of NCBO 		terminology																omitted						
kberg								KBERG	KBERG																		no resolving url	omitted						
kdbi								KDBI	Kinetic Data of Biomolecular Interactions	Kinetic Data of Bio-molecular Interaction (KDBI) is a collection of experimentally determined kinetic data of protein-protein, protein-RNA, protein-DNA, protein-ligand, RNA-ligand, DNA-ligandbinding or reaction events described in the literature.		National University of Singapore		small molecule, protein, RNA, DNA, interaction	http://bidd.nus.edu.sg/group/kdbi/kdbi.asp							^\d+$	5957	http://bidd.nus.edu.sg/group/KDBI/Detail-new.asp?ID=$id				curation						
kdd								KDD	Kidney Development Database	The Kidney Development Database was created to collect in one place the data from a large number of developmental studies that have a bearing on the study of kidney development.		University of Edinburgh		anatomy	http://golgi.ana.ed.ac.uk/kidhome.html									http://golgi.ana.ed.ac.uk/$id.html			not linkable (flat tables)	omitted						
kegg								KEGG	Kyoto Encyclopedia of Genes and Genomes	KEGG is an integrated database resource consisting of 16 main databases, broadly categorized into biological systems information, genomic information, and chemical information.		Kyoto University Bioinformatics Center		pathway, classification, ontology, small molecule, gene, DNA, protein, enzyme	http://www.genome.jp/kegg/					Academic users may freely use the KEGG website and they may also freely link to the KEGG website. Non-academic users may use the KEGG website as end users for non-commercial purposes, but any other use requires a license agreement.	commercial license		D00123	N/A			duplicated below	omitted						
kegg.brite	br, brite								KEGG BRITE	KEGG BRITE is a collection of hierarchical classifications (see new hierarchies and last updates) representing our knowledge on various aspects of biological systems. In contrast to KEGG PATHWAY, which is limited to molecular interactions and reactions, KEGG BRITE incorporates many different types of relationships. 		Kyoto University Bioinformatics Center		pathway, classification, ontology	http://www.genome.jp/kegg/brite.html			kegg				[ko/br]\d+	ko00071 	http://www.genome.jp/kegg-bin/get_htext?-p+/kegg/brite/br+br$id			need to investigate relationship with kegg orthology. may be overlap	omitted						
kegg.compound	cpd, kegg.compounds			MIR:00000013					KEGG Compound	KEGG COMPOUND is a chemical structure database for metabolic compounds and other chemical substances that are relevant to biological systems. 	22700311	Kyoto University Bioinformatics Center		small molecule	http://www.genome.jp/kegg/compound/			kegg				^C\d+$	C12345	http://www.genome.jp/dbget-bin/www_bget?cpd:$id		x								
kegg.disease	ds, kegg.diseases								KEGG Disease	The KEGG DISEASE database is a new collection of disease entries capturing knowledge on genetic and environmental perturbations. Each disease entry is identified by the H number and contains a list of known genetic factors (disease genes), environmental factors, diagnostic markers, and therapeutic drugs. 		Kyoto University Bioinformatics Center		classification	http://www.genome.jp/kegg/disease/			kegg				H\d+	H00047 	http://www.genome.jp/dbget-bin/www_bget?ds:$id				curation						
kegg.drug	dr, kegg.drugs			MIR:00000025					KEGG Drug	KEGG DRUG is a unified drug information resource that contains chemical structures and/or chemical components of all prescription and OTC drugs in Japan, most prescription drugs in the USA, and many prescription drugs in Europe. 	16381885	Kyoto University Bioinformatics Center		small molecule	http://www.genome.jp/kegg/drug/			kegg				^D\d+$	D00123	http://www.genome.jp/dbget-bin/www_bget?dr:$id		x								
kegg.gene	gene, kegg.genes			MIR:00000070					KEGG Genes	KEGG GENES is a collection of gene catalogs for all complete genomes generated from publicly available resources, mostly NCBI RefSeq. They are subject to SSDB computation and KO assignment (gene annotation) by KOALA tool	16381885	Kyoto University Bioinformatics Center		gene, DNA, protein	http://www.genome.jp/kegg/genes.html			kegg				^\w+:[\w\d\.-]*$	syn:ssr3451	http://www.genome.jp/dbget-bin/www_bget?[?species]:$id		x								
kegg.genome	gn, kegg.genomes			MIR:00000238					KEGG Genome	Complete organism genomes	22080510	Kyoto University Bioinformatics Center			http://www.genome.jp/kegg/catalog/org_list.html			kegg				T\d+	T00047	http://www.genome.jp/dbget-bin/www_bget?gn:$id		x								
kegg.glycan	gl, kegg.glycans			MIR:00000026					KEGG Glycan	The KEGG GLYCAN structure database is a collection of experimentally determined glycan structures [1]. It contains all unique structures taken from CarbBank, structures entered from recent publications, and structures present in KEGG pathways.	16014746	Kyoto University Bioinformatics Center		small molecule	http://www.genome.jp/kegg/glycan/			kegg				^G\d+$	G00123	http://www.genome.jp/dbget-bin/www_bget?gl:$id		x								
kegg.ligand	ligand, kegg.ligands								KEGG Ligand			Kyoto University Bioinformatics Center		small molecule	http://www.genome.jp/kegg/ligand.html			kegg				[C/D/G/R]\d+ or EC# or RP#	1.1.1.62	N/A			superset including compound, glycan, reaction whicvh already exist in MIRIAM	preexisting as MIR:00000012,16,26						
kegg.metagenome	kegg.metagenomes			MIR:00000239					KEGG Metagenome	The KEGG Metagenome Database collection information on environmental samples (ecosystems) of genome sequences for multiple species.	22080510			genome								^T3\d+$	T30002	http://www.genome.jp/kegg-bin/show_organism?org=$id		x								
kegg.orthology	ko			MIR:00000116					KEGG Orthology	  The KEGG reference pathway maps and BRITE functional hierarchies are represented in a general way to be applicable to all organisms. KEGG Orthology (KO) is the basis for this representation, consisting of manually defined ortholog groups that correspond to KEGG pathway nodes and BRITE hierarchy nodes.		Kyoto University Bioinformatics Center		classification, pathway	http://www.genome.jp/kegg/ko.html			kegg				^K\d+$	K00001	http://www.genome.jp/dbget-bin/www_bget?ko:$id		x								
kegg.pathway	path, kegg.pathways		http://www.genome.jp/kegg-bin/show_pathway?#	MIR:00000012					KEGG Pathway	KEGG PATHWAY is a collection of manually drawn pathway maps (see new maps, change history, and last updates) representing our knowledge on the molecular interaction and reaction networks	22700311	Kyoto University Bioinformatics Center		pathway	http://www.genome.jp/kegg/pathway.html			kegg				^map\d+$	map00071	http://www.genome.jp/dbget-bin/www_bget?map$id		x	miriam uses organism specific identifiers cf. http://www.genome.jp/kegg/kegg3a.html. Also note the new alternative URL added, which gets some descriptive text as well as the figure							
kegg.reaction	rn, kegg.reactions			MIR:00000014					KEGG Reaction	KEGG REACTION contains all reactions taken from KEGG ENZYME and additional reactions taken from the metabolic pathway maps in KEGG PATHWAY.	22700311	Kyoto University Bioinformatics Center		enzyme, pathway	http://www.genome.jp/kegg/reaction/			kegg				^R\d+$	R00047	http://www.genome.jp/dbget-bin/www_bget?rn:$id		x								
kibank								KiBank	KiBank																		no resolving url	omitted						
kinasedb								KinaseDB	Kinase Pathway Database			Tokyo University		pathway, protein, enzyme	http://kinasedb.ontology.ims.u-tokyo.ac.jp/									no search 				omitted						
kineticdb								KineticDB	KineticDB - a Protein Folding Kinetics Database	KineticDB is the thoroughly curated database of protein folding kinetics which contains currently experiments on 87 unique proteins and about hundred of mutants. The main goal of KineticDB is to provide users with the diverse set of protein folding rates known from experiment.		Russian Academy of Sciences		protein, structure	http://KineticDB.protres.ru/db/index.pl							^\d+$	4	http://kineticdb.protres.ru/db/ind.pl?ind=$id				curation						
king								KinG	Kinases in Genomes	KinG: Kinases in Genomes is a comprehensive collection of Ser/Thr/Tyr specific protein kinases and similar sequences encoded in the completed genomes of eukaryotes and prokaryotes. This site provides a detailed classification based on sequence similarity of eukaryotic protein kinases (Hanks and Hunter classification). 		Indian Institute of Science		genome, enzyme, protein, classification	http://hodgkin.mbu.iisc.ernet.in/king2/cgi-bin/index									no search 			not linkable	omitted						
kinmutbase								KinMutBase	KinMutBase: A registry of disease-causing mutations in protein kinase domains	KinMutBase is a comprehensive database of disease-causing mutations in protein kinase domains. This release of the database contains 582 mutations in 20 tyrosine kinase domains and 13 serine/threonine kinase domains. The database refers 1790 cases from 1322 families. 		IMT Bioinformatics		enzyme, protein	http://bioinf.uta.fi/KinMutBase/							K\d+	K00046	N/A			massive flat file/web page	omitted						
kinomer								Kinomer	Kinomer	Kinomer is a multilevel HMM library that models these protein kinase groups. It allows accurate identification of protein kinases and classification to the appropriate kinase group.		The Barton Group, University of Dundee		enzyme, protein, classification	http://www.compbio.dundee.ac.uk/kinomer									N/A			tool + web page on each of 12 kinases	omitted						
kipo.protein	kipo_prt					kipo			Korean Patent Office - Protein Sequences	Protein sequences extracted from patent applications to the Korean Intellectual Property Office (KIPO)					http://srs.ebi.ac.uk/srsbin/cgi-bin/wgetz?-page+LibInfo+-id+1JCFK1gtG99+-lib+KIPO_PRT												no resolving url	omitted						
kisao	biomodels.kisao	http://www.biomodels.net/kisao/KISAO#		MIR:00000108		1410		KiSAO	Kinetic Simulation Algorithm Ontology	The Kinetic Simulation Algorithm Ontology (KiSAO) is an ontology that describes simulation algorithms and methods used for biological kinetic models, and the relationships between them. This provides a means to unambiguously refer to simulation algorithms when describing a simulation experiment.			terminology	ontology	http://biomodels.net/kisao/							^KISAO_\d+$	KISAO_0000057			x								
klotho								Klotho	Klotho: Biochemical Compounds Declarative Database	The approach is to capture the ``natural language'' of biochemistry in a layered graph grammar, Klotho, which permits interconversion among a family of equivalent representations for compounds, and then operate on these with rules  which express chemical and mechanistic aspects of the biochemical reaction.				pathway	http://www.biocheminfo.org/klotho/									http://www.biocheminfo.org/klotho/html/$id.html			 (dental blog 404 page)	omitted						
kmim								KMIM	Kohn Molecular Interaction Maps	A map was prepared of the mammalian cell cycle and DNA repair control network. In order to facilitate linkage to a database, each molecular species usually is represented only once in a diagram. Each interaction is referenced to an annotation list where pertinent information and references can be found.		Genomics and Bioinformatics Group		DNA, interaction, small molecule	http://discover.nci.nih.gov/mim/kohnk/kohnk.jsp									N/A			subset of emim, also looks like just 2 figures 	omitted						
knapsack				MIR:00000271				KNApSAcK	KNApSAcK		22123792	NARA INSTITUTE of SCIENCE and TECHNOLOGY	dataset		http://kanaya.naist.jp/knapsack_jsp/top.html							^C\d{8}	C00000001			x								
knottin_database								KNOTTIN	Knottin database	The KNOTTIN database provides standardized data on the knottin structural family (also referred to as the "Inhibitor Cystine Knot (ICK) motif/family/fold").		Centre de Biochimie Structurale (CBS)		structure, small molecule	http://knottin.cbs.cnrs.fr/									N/A				curation						
kznf									Human KZNF Gene Catalog	A database of Krüppel-type zinc finger (ZNF) proteins 	16606702				http://znf.igb.uiuc.edu/human/							^\d+$	2	http://znf.igb.uiuc.edu/human/action/exploreView?type=locus&id=$id										
l1base								L1Base	L1Base: Annotation of Full-Length, Intact L1 Elements	L1Base is a dedicated database containing putatively active LINE-1 (L1) insertions residing in human and rodent genomes: a) intact in the two ORFs, full length L1s (FLI-L1s) and b) L1s with intact ORF2 but disrupted ORF1 (ORF2-L1s). In addition, due to their regulatory potential, the full length (>6000bp) non-intact L1s (FLnI-L1s) were also included in the database.		Max-Plack Institute Berlin		genome, DNA	http://line1.molgen.mpg.de							^\d+$	11	http://line1.bioapps.biozentrum.uni-wuerzburg.de/details.php?DBN=[?family_name]&UID=$id			multiple identifiers	omitted						
lda			http://www.semanticweb.org/ontologies/2008/10/languageacquisition_autism.owl#			1398		LDA	Ontology of Language Disorder in Autism	We present the short review of language terms used in the domain of autism and populate them into ontology available for consultation and sharing. The language terms were obtained via text mining and automatic retrieval of terms from the corpus of PubMed abstracts.			terminology										Lexicalization					omitted						
led								LED	Lipase Engineering Database	The LED database integrates information on sequence and structure of lipases and related proteins sharing the same a/b hydrolase fold to facilitate protein engineering. 		Institute of Technical Biochemistry, University of Stuttgart		structure, enzyme, protein	http://www.led.uni-stuttgart.de/									N/A				curation						
leger								LEGER	LEGER: Post-genome Database for Listeria Research	The Proteome Database LEGER links (as an information warehouse) basic requirements of each listerial research project with state of the art knowledge that can be derived from functional genome studies. It provides information about gene functions, protein expression levels, subcellular localization of proteins, and the biological meaning of genes/proteins.		HELMHOLTZ Centre for Infection Research		protein, gene	http://leger2.gbf.de/cgi-bin/expLeger.pl							L[a-z]+\d+	Lmo0007	N/A			not linkable (complex parameter selection from options gives table of results with identifiers for this system that are not linked); will email	omitted						
legiolist								LegioList	Legionella pneumophila genome database	LegioList is a database dedicated to the analysis of the genomes of Legionella pneumophila strain Paris (endemic in France), strain Lens (epidemic isolate), strain Phildelphia 1, and strain Corby. It also includes the genome of Legionella longbeachae strain NSW150. 		Institut Pasteur	dataset	genome	http://genolist.pasteur.fr/LegioList/							[A-Z]+/\d+	baf	N/A			duplicated subset of GenoList	preexisting in curation MIR:00900121						
legumeip					biodbcore-000056			LegumeIP	Model Legumes Integrative database Platform						http://plantgrn.noble.org/LegumeIP/																			
leproma								Leproma	Mycobacterium leprae genome database	The Leprosy knowledge base integrates genome details, protein information, drug and transcriptome data, mutant and operon annotation; structural views and comparative genomics, in a structured manner required for the rational development of new diagnostic, therapeutic and prophylactic measures against leprosy. 		EPFL	dataset	genome, protein, structure	http://mycobrowser.epfl.ch/leprosy.html							[A-Z]+/\d+	pabB	http://mycobrowser.epfl.ch/leprosysearch.php?gene+name=$id&submit=Search				preexisting MIR:00000217						
leptolist								LeptoList	LeptoList																		no resolving url	omitted						
lgicdb	lgic			MIR:00000087				LGICdb	Ligand-Gated Ion Channel database	The Ligand-Gated Ion Channel database provides nucleic and proteic sequences of the subunits of ligand-gated ion channels. These transmembrane proteins can exist under different conformations, at least one of which forms a pore through the membrane connecting two neighbouring compartments. The database can be used to generate multiple sequence alignments from selected subunits, and gives the atomic coordinates of subunits, or portion of subunits, where available.	9847222	EBI		gene,protein,sequence	http://www.ebi.ac.uk/compneur-srv/LGICdb/			ebi	http://www.ebi.ac.uk/Information/termsofuse.html	The public databases of the EBI are freely available by any individual and for any purpose		^\w+$	5HT3Arano	http://www.ebi.ac.uk/compneur-srv/LGICdb/HTML/$id.php		x								
lhn		http://purl.obolibrary.org/obo/IHN_				1024		LHN	Loggerhead nesting	An ontology for Loggerhead sea turtle (Caretta caretta) nesting behavior, based on the published ethogram of Hailman and Elowson.			terminology	obo, sea turtle, behavior	http://www.mesquiteproject.org/ontology/Loggerhead/index.html							^EKB_\d+$	EKB_0000004					omitted						
lifedb								LIFEdb	LIFEdb	LifeDB enables the search for cdna clones and localization of proteins, but is currently under development to visualize experimental data (e.g. mutation, CNV, gene and protein expression data) in signaling pathways.		DKFZ		DNA, protein, gene expression, pathway	http://www.dkfz.de/LIFEdb									N/A			issue (table with links only to external data NCBI and UCSC); issue (only linkable item is photographs but no metadata to specify what they are, etc)	omitted						
ligandbox								LigandBox	LigandBox	LigandBox(LIGANDs Data Base Open and eXtensible) is a 'ready-to-dock' database of small chemical compounds, for virtual drug screening on computer docking studies.  It contains the 3D molecular structures including full hydrogen atoms with atomic charges for each compounds.	27493549	Japan Biologics Information Consortium	dataset	protein, structure, small molecule	http://www.mypresto5.com/ligandbox/cgi-bin/index.cgi?LANG=en								HTS1710-00235605	http://www.mypresto5.com/ligandbox/cgi-bin/liginf.cgi?id=$id										
ligandexpo				MIR:00000062				Ligand Expo	Ligand Expo	Ligand Expo is a data resource for finding information about small molecules bound to proteins and nucleic acids.	15059838	Rutgers		interaction,structure, protein, chemical, nucleic acid	http://ligand-depot.rutgers.edu/				http://ligand-depot.rutgers.edu/acknowledgements.html	Please reference our prior publication describing Ligand Depot		^(\w){3}$	ABC	http://ligand-depot.rutgers.edu/pyapps/ldHandler.py?formid=cc-index-search&target=$id&operation=ccid		x								
ligasite								LigAsite	LigAsite	LigASite is a gold-standard dataset of biologically relevant binding sites in protein structures. It consists of proteins with one unbound structure and at least one structure of the protein-ligand complex. Both a redundant and a non-redundant (sequence identity lower than 25%) version is available. Quaternary structures proposed by PQS (2) are used for all structures in the dataset.		Université Libre de Bruxelles		protein, structure, small molecule	http://www.bigre.ulb.ac.be/Users/benoit/LigASite/							PDBID	1bkz	http://www.bigre.ulb.ac.be/Users/benoit/LigASite/index.php?apo=$id				curation						
linkedspl	dailymed	http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/vocab/resource/						LinkedSPL	Linked Structured Product Label	LinkedSPL is a Linked Data version of DailyMed		University of Pittsburg	dataset	drug	http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/				http://creativecommons.org/licenses/by-nc-sa/3.0/				0000076a-fc39-4208-ace8-6c2cb367904f	http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/page/structuredProductLabelMetadata/$id										
lipidbank				MIR:00000115				LipidBank	LipidBank	LipidBank is an open, publicly free database of natural lipids including fatty acids, glycerolipids, sphingolipids, steroids, and various vitamins.	12058481	University of Tokyo		lipid, molecule, structure	http://lipidbank.jp/index.html							^\w+\d+$	BBA0001	http://lipidbank.jp/cgi-bin/detail.cgi?id=$id		x								
lipidmaps				MIR:00000052				LIPID MAPS	LIPID MAPS	The LIPID MAPS Lipid Classification System is comprised of eight lipid categories, each with its own subclassification hierarchy. All lipids in the LIPID MAPS Structure Database (LMSD) have been classified using this system and have been assigned LIPID MAPS ID's which reflects their position in the classification hierarchy.	17098933,15722563	University of California		lipid,structure,taxonomy	http://www.lipidmaps.org				http://www.lipidmaps.org/about/terms_of_use.html	You may download articles and web pages from this site for your personal, non-commercial use only, provided that you keep intact all authorship, copyright and other proprietary notices. The Featured Lipid can also be used for educational purposes, provided that credit is given to the Lipidomics Gateway.		^LM(FA|GL|GP|SP|ST|PR|SL|PK)[0-9]{4}([0-9a-zA-Z]{4,6})?$	LMPR0102010012	http://www.lipidmaps.org/data/get_lm_lipids_dbgif.php?LM_ID=$id		x								
lipro						1183		lipid	Lipid Ontology	 The ontology describes the LIPIDMAPS nomenclature classification explicitly using description logics (OWL-DL). Lipid classes are organized hierarchically with the super-classes restricted by generic necessary conditions. More specific necessary conditions are used to define membership requirements for sub classes of lipid according to appropriate functional groups.		OBO	terminology	ontology, protein, gene, classification, small molecule										N/A				omitted						
lis								Legume Information System	Legume Information System	The mission of the Legume Information System is to improve the productivity of crop breeders and basic researchers in Fabaceae by expertise and up-to-date information bridging the reference species. The vision is to leverage data-rich model plants to fill knowledge gaps across crop plant species and provide the ability to traverse between interrelated data types.		LIS		classification	http://www.comparative-legumes.org/									N/A			set of tools mostly - can link to gene family info	curation						
listilist								ListiList	Listeria innocua and Listeria monocytogenes genomes database	ListiList is a database dedicated to the analysis of the genomes of the food-borne pathogen, Listeria monocytogenes, and its non-pathogenic relative, Listeria innocua. Its purpose is to collate and integrate various aspects of the genomic information from L. monocytogenes, a paradigm for bacterial-host interactions.		Institut Pasteur		genome	http://genolist.pasteur.fr/ListiList/							L[A-Z]+\d+	LIN02037	N/A			issue (this is one of over 400 organism data sets provided by GenoList, which has been in curation for a while); issue (there is not generic access URL as you need to go through a 'select organism' and search step); action (have mailed before, but just mailed again 26/4/13)	curation/ covered probably by GenoList in MIRIAM curation MIR:00900121						
lncipedia								LNCipedia	LNCipedia	A comprehensive compendium of human long non-coding RNAs	30371849		dataset	RNA, lncrna	https://lncipedia.org/								A1BG-AS1	http://www.lncrnadb.org/$id										
